league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST,U_G
1909,Arkansas State League,regular,P6487505,Bennett,,1909-06-28,1909-07-04,4
1909,Arkansas State League,regular,P8697237,Blackburn,,1909-06-28,1909-06-28,1
1909,Arkansas State League,regular,P1541254,Crotty,,1909-04-23,1909-06-27,43
1909,Arkansas State League,regular,P7379137,Hartings,,1909-07-03,1909-07-03,1
1909,Arkansas State League,regular,P5882850,Hastings,,1909-07-06,1909-07-07,2
1909,Arkansas State League,regular,P6630496,Jones,,1909-07-03,1909-07-03,1
1909,Arkansas State League,regular,P6402596,MacDonald,,1909-06-12,1909-06-16,5
1909,Arkansas State League,regular,P4870130,MancDonald,,1909-06-14,1909-06-14,1
1909,Arkansas State League,regular,P8178275,McDonald,,1909-04-16,1909-07-07,20
1909,Arkansas State League,regular,P6839213,McNulty,,1909-06-06,1909-06-06,1
1909,Arkansas State League,regular,P8195348,Osborn,,1909-04-23,1909-05-08,4
1909,Arkansas State League,regular,P4292153,Osborne,,1909-04-27,1909-06-08,18
1909,Arkansas State League,regular,P0087085,Ray,,1909-04-20,1909-04-20,1
1909,Arkansas State League,regular,P4263716,Rayburn,,1909-07-05,1909-07-05,1
1909,Arkansas State League,regular,P0102045,Riggs,,1909-06-09,1909-06-09,1
1909,Arkansas State League,regular,P9715883,Robinson,,1909-04-20,1909-04-20,1
1909,Arkansas State League,regular,P0847443,Rogers,,1909-06-28,1909-06-28,1
1909,Arkansas State League,regular,P4983547,Ryan,,1909-06-24,1909-07-07,10
1909,Arkansas State League,regular,P6778900,Shaw,,1909-07-04,1909-07-04,1
1909,Arkansas State League,regular,P0947910,Smith,,1909-04-20,1909-07-03,34
1909,Arkansas State League,regular,P9952017,Spencer,,1909-04-17,1909-04-19,3
1909,Arkansas State League,regular,P2344945,Swartze,,1909-07-07,1909-07-07,1
1909,Arkansas State League,regular,P2850446,Wayman,,1909-07-03,1909-07-03,1
1909,Northeast Arkansas League,regular,P0525150,Adams,,1909-08-11,1909-08-11,1
1909,Northeast Arkansas League,regular,P5765853,Crotty,,1909-07-31,1909-08-14,12
1909,Northeast Arkansas League,regular,P6769502,Farabee,,1909-07-29,1909-07-29,1
1909,Northeast Arkansas League,regular,P8766586,McDonald,,1909-08-11,1909-08-11,1
1909,Northeast Arkansas League,regular,P3013138,Ryan,,1909-08-05,1909-08-14,9
1909,Northeast Arkansas League,regular,P5506486,Shauver,,1909-07-30,1909-07-31,2
1909,Northeast Arkansas League,regular,P5924413,Smith,,1909-07-26,1909-08-04,6
1909,Northeast Arkansas League,regular,P4106758,Sullivan,,1909-07-29,1909-07-30,2
1909,Northeast Arkansas League,regular,P7075045,Wayman,,1909-07-27,1909-07-27,1
1909,Northeast Arkansas League,regular,P3858781,Weimar,,1909-07-26,1909-07-26,1
1909,Northeast Arkansas League,regular,P5045495,Williamson,,1909-08-11,1909-08-11,1
1909,Northeast Arkansas League,regular,P1716196,Wyman,,1909-07-28,1909-07-28,1
1909,Southern Association,regular,P4650258,Carpenter,,1909-04-15,1909-08-14,98
1909,Southern Association,regular,P8665110,Cartenter,,1909-05-03,1909-05-03,1
1909,Southern Association,regular,P9839575,Fitsimmons,,1909-07-06,1909-07-06,1
1909,Southern Association,regular,P1022705,Fitzsimmons,,1909-04-15,1909-08-09,103
1909,Southern Association,regular,P0862786,Flood,,1909-07-20,1909-07-20,1
1909,Southern Association,regular,P0746776,Kellum,,1909-07-19,1909-07-20,2
1909,Southern Association,regular,P3824315,Matthews,,1909-07-19,1909-08-14,6
1909,Southern Association,regular,P3286379,Moran,,1909-04-15,1909-08-15,91
1909,Southern Association,regular,P9916884,O'Brien,,1909-04-15,1909-08-14,102
1909,Southern Association,regular,P6965488,O'Brien,Rudderham,1909-08-02,1909-08-02,1
1909,Southern Association,regular,P8912300,Pfeninger,,1909-05-31,1909-05-31,1
1909,Southern Association,regular,P6973690,Pfenninger,,1909-04-15,1909-08-15,102
1909,Southern Association,regular,P4805514,Rudderham,,1909-04-15,1909-08-13,99
1909,Southern Association,regular,P4692041,Rudderhm,,1909-04-22,1909-04-22,1
1909,Southern Association,regular,P9746000,Rudderman,,1909-06-12,1909-06-12,1
1909,Southern Association,regular,P3116643,Shannon,,1909-07-19,1909-07-20,2
1909,Southern Association,regular,P7595802,Shields,,1909-08-12,1909-08-12,2
1909,Southern Association,regular,P5662712,Stickney,,1909-07-21,1909-07-21,1
1909,Southern Association,regular,P3929786,Wheeler,,1909-08-14,1909-08-14,1
