key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,away.score.18,away.score.19,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17,home.score.18,home.score.19
FXRRCRV,1909-04-15,0,Arkansas State,regular,,Helena,2,,Argenta,3,,,,,,,,data/boxscores/transcript/1909/1909-MCA/ARSL-19090415.txt,"(Mempis) Commercial Appeal, April 16, 1909",0,0,2,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,2,0,0,1,x,,,,,,,,,,
NTTVSLS,1909-04-15,0,Southern Association,regular,,Birmingham,4,,Atlanta,3,,,1:57,,,,,data/boxscores/transcript/1909/1909-MCA/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 16, 1909",1,2,0,0,0,0,1,0,0,,,,,,,,,,,2,0,0,0,1,0,0,0,0,,,,,,,,,,
MSMDFLY,1909-04-15,0,Southern Association,regular,,Little Rock,1,,Memphis,0,,,1:30,,,,,data/boxscores/transcript/1909/1909-MCA/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 16, 1909",0,0,0,1,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
DDNPNMP,1909-04-15,0,Southern Association,regular,,Montgomery,3,,Nashville,4,,,1:50,,,,,data/boxscores/transcript/1909/1909-MCA/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 16, 1909",0,0,0,1,2,0,0,0,0,,,,,,,,,,,0,0,0,0,0,1,3,0,x,,,,,,,,,,
NNMKLQD,1909-04-15,0,Southern Association,regular,,Mobile,2,,New Orleans,8,,,2:05,,,,,data/boxscores/transcript/1909/1909-MCA/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 16, 1909",0,0,0,0,0,0,2,0,0,,,,,,,,,,,0,0,0,1,7,0,0,0,x,,,,,,,,,,
FWHLXWR,1909-04-16,0,Arkansas State,regular,,Monroe,5,,Alexandria,6,,,,,,,,data/boxscores/transcript/1909/1909-MCA/ARSL-19090415.txt,"(Memphis) Commercial Appeal, April 17, 1909",0,0,1,0,0,0,2,0,2,0,,,,,,,,,,0,0,0,0,1,1,0,1,2,1,,,,,,,,,
TXVQXRC,1909-04-16,0,Arkansas State,regular,,Helena,1,,Argenta,3,,,,,,,,data/boxscores/transcript/1909/1909-MCA/ARSL-19090415.txt,"(Memphis) Commercial Appeal, April 17, 1909",0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,0,0,3,0,0,0,0,x,,,,,,,,,,
JNPFZHK,1909-04-16,0,Arkansas State,regular,,Jonesboro,8,,Hot Springs,7,,,,,,,,data/boxscores/transcript/1909/1909-MCA/ARSL-19090415.txt,"(Memphis) Commercial Appeal, April 17, 1909",2,2,1,0,0,0,0,1,1,0,0,0,1,,,,,,,0,3,1,0,0,3,0,0,0,0,0,0,0,,,,,,
SKTPGCR,1909-04-16,0,Arkansas State,regular,,Fort Smith,4,,Texarkana,8,,,,,,,,data/boxscores/transcript/1909/1909-MCA/ARSL-19090415.txt,"(Memphis) Commercial Appeal, April 17, 1909",0,0,0,0,2,0,1,1,0,,,,,,,,,,,0,0,0,5,0,0,1,2,x,,,,,,,,,,
FWCNWTG,1909-04-16,0,Southern Association,regular,,Birmingham,1,,Atlanta,6,,,1:32,,,,,data/boxscores/transcript/1909/1909-MCA/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 17, 1909",0,1,0,0,0,0,0,0,0,,,,,,,,,,,2,3,0,0,1,0,0,0,1,,,,,,,,,,
