league.year,league.name,ident,phase.name,entry.name,S_STINT,S_FIRST,S_LAST,B_G,B_AB,B_R,B_H,B_2B,B_3B,B_HR,B_SB,F_P_G,F_C_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G
1915,Buckeye League,1915-BUCK:murray,regular,Lima,0,1915-05-19,1915-07-02,36,140,34,52,7,1,,12,0,0,0,34,0,3,0,0,0,0
1915,Buckeye League,1915-BUCK:myers,regular,Akron,1,1915-05-19,1915-05-21,2,8,1,2,,,,1,0,0,0,0,2,0,0,0,0,0
1915,Buckeye League,1915-BUCK:myers,regular,Newark,2,1915-05-27,1915-05-27,1,5,0,1,,,,,0,0,0,0,0,1,0,0,0,0
1915,Buckeye League,1915-BUCK:myers,regular,#TOTAL,T,1915-05-19,1915-05-27,3,13,1,3,,,,1,0,0,0,0,2,1,0,0,0,0
1915,Buckeye League,1915-BUCK:neer,regular,Marion,0,1915-05-19,1915-06-10,15,51,9,17,4,1,2,6,0,0,15,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:newnham,regular,Akron,0,1915-05-19,1915-06-28,34,116,16,24,1,,,4,0,0,0,22,0,12,0,0,0,0
1915,Buckeye League,1915-BUCK:orndolf,regular,Marion,0,1915-05-21,1915-06-10,7,21,5,7,3,,1,1,5,0,0,0,0,0,1,1,0,0
1915,Buckeye League,1915-BUCK:pastourious,regular,Canton,0,1915-06-06,1915-06-11,3,11,1,2,,,,,0,0,3,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:patton,regular,Canton,1,1915-05-19,1915-05-31,9,23,8,3,,,,1,0,0,0,0,9,0,0,0,0,0
1915,Buckeye League,1915-BUCK:patton,regular,Akron,2,1915-06-04,1915-07-02,27,97,17,24,6,1,,10,0,0,0,0,27,0,0,0,0,0
1915,Buckeye League,1915-BUCK:patton,regular,#TOTAL,T,1915-05-19,1915-07-02,36,120,25,27,6,1,,11,0,0,0,0,36,0,0,0,0,0
1915,Buckeye League,1915-BUCK:peak,regular,Akron,0,1915-06-28,1915-07-02,4,14,3,6,2,,,1,0,0,0,0,0,4,0,0,0,0
1915,Buckeye League,1915-BUCK:pearce,regular,Newark,0,1915-05-31,1915-07-05,25,87,13,20,2,1,1,5,0,25,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:pickett,regular,Akron,0,1915-06-22,1915-07-05,7,16,2,3,,1,1,,6,0,0,0,0,0,1,0,0,1
1915,Buckeye League,1915-BUCK:piert,regular,Canton,0,1915-06-05,1915-06-05,1,,,,,,,,1,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:plummer,regular,Akron,0,1915-05-25,1915-07-01,18,71,10,24,3,,,1,0,0,0,0,0,0,17,0,0,17
1915,Buckeye League,1915-BUCK:price-akr,regular,Akron,0,1915-06-10,1915-06-10,1,2,1,1,,,,,0,0,0,0,0,0,1,1,0,0
1915,Buckeye League,1915-BUCK:price-mar,regular,Marion,0,1915-05-21,1915-05-31,6,20,1,5,,,,2,0,0,0,0,0,0,5,5,0,0
1915,Buckeye League,1915-BUCK:price-new,regular,Newark,0,1915-05-19,1915-06-05,10,38,2,8,1,,,2,0,0,0,0,0,10,0,0,0,0
1915,Buckeye League,1915-BUCK:prout,regular,Canton,0,1915-05-19,1915-05-31,9,31,5,6,,,,4,0,0,0,9,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:reese,regular,Newark,0,1915-06-28,1915-07-05,6,16,2,3,,,,2,0,0,5,0,0,0,1,0,0,1
1915,Buckeye League,1915-BUCK:reynolds,regular,Lima,0,1915-05-19,1915-07-04,22,63,5,16,2,,1,2,14,0,0,0,1,0,6,5,0,1
1915,Buckeye League,1915-BUCK:richmond,regular,Findlay,0,1915-05-22,1915-06-19,7,16,0,0,,,,,7,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:riley,regular,Newark,0,1915-05-22,1915-05-22,1,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:roudebush,regular,Newark,0,1915-06-21,1915-07-05,14,47,9,10,2,2,,2,0,0,0,13,0,1,0,0,0,0
1915,Buckeye League,1915-BUCK:samuels,regular,Canton,0,1915-05-22,1915-06-10,7,11,0,0,,,,,7,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:schoner,regular,Akron,0,1915-06-06,1915-06-27,3,9,3,3,1,1,,,3,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:schultz,regular,Findlay,0,1915-05-21,1915-07-04,17,27,4,3,1,,,,16,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:schweitzer,regular,Lima,0,1915-05-19,1915-06-12,17,56,28,28,10,1,2,7,0,0,0,0,0,0,17,17,0,0
1915,Buckeye League,1915-BUCK:sherman,regular,Canton,0,1915-06-10,1915-06-10,1,,,,,,,,1,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:smith,regular,Canton,0,1915-05-25,1915-05-25,1,3,0,0,,,,,0,0,0,0,0,0,1,0,1,0
1915,Buckeye League,1915-BUCK:spahr,regular,Canton,0,1915-05-28,1915-05-31,2,6,0,0,,,,,2,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:strawn,regular,Newark,0,1915-05-19,1915-07-05,34,111,9,23,4,1,,4,1,4,0,0,0,5,25,0,18,8
1915,Buckeye League,1915-BUCK:talbot,regular,Akron,0,1915-05-19,1915-07-05,39,145,13,42,9,6,2,13,0,39,0,0,0,0,1,0,0,1
1915,Buckeye League,1915-BUCK:thoma,regular,Marion,0,1915-05-19,1915-06-10,15,59,12,17,6,1,1,,0,0,0,0,0,0,15,0,15,0
1915,Buckeye League,1915-BUCK:thrapp,regular,Newark,0,1915-06-28,1915-07-05,2,7,0,1,,,,,2,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:trimmer,regular,Newark,0,1915-05-22,1915-05-22,1,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:walker,regular,Lima,0,1915-05-19,1915-07-05,28,87,10,22,6,3,2,1,11,0,9,1,0,0,8,6,2,0
1915,Buckeye League,1915-BUCK:warden,regular,Lima,0,1915-05-19,1915-07-02,36,143,20,40,9,2,,5,0,0,0,0,35,0,1,1,0,0
1915,Buckeye League,1915-BUCK:weitel,regular,Newark,0,1915-05-23,1915-05-23,1,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:werner,regular,Findlay,0,1915-05-19,1915-07-05,38,138,24,40,5,7,1,6,1,0,0,0,0,0,37,32,0,5
1915,Buckeye League,1915-BUCK:wetzel,regular,Marion,0,1915-05-19,1915-06-10,15,50,9,12,1,,,2,0,0,0,0,15,0,0,0,0,0
1915,Buckeye League,1915-BUCK:wilhelm,regular,Canton,0,1915-05-21,1915-05-22,2,4,1,2,,,,1,1,0,0,0,0,0,0,0,0,0
1915,Buckeye League,1915-BUCK:wratten,regular,Newark,0,1915-05-19,1915-07-05,37,140,21,30,5,,1,6,1,0,0,0,37,0,0,0,0,0
1915,Buckeye League,1915-BUCK:yockey,regular,Findlay,0,1915-05-19,1915-07-05,37,133,19,33,11,1,2,7,1,0,0,35,0,2,0,0,0,0
