key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15
JWZMDPP,1910-04-28,0,Carolina Association,regular,,Greenville,9,,Anderson,6,,,2:08,,,,,transcript/1910/1910-CEC/boxes/CEC-19100428.txt,"The (Charlotte) Evening Chronicle Apr 29, 1910",0,2,1,1,3,0,1,1,0,,,,,,,0,0,3,0,0,0,1,0,2,,,,,,
DXWWKKJ,1910-04-28,0,Carolina Association,regular,,Spartanburg,,,Charlotte,,,1800,1:55,,,,,transcript/1910/1910-CEC/boxes/CEC-19100428.txt,"The (Charlotte) Evening Chronicle Apr 29, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WYBYRGR,1910-04-28,0,Carolina Association,regular,,Winston-Salem,6,,Greensboro,3,,2100,2:10,,,,,transcript/1910/1910-CEC/boxes/CEC-19100428.txt,"The (Charlotte) Evening Chronicle Apr 29, 1910",0,2,0,0,1,3,0,0,0,,,,,,,0,1,0,0,0,1,1,0,0,,,,,,
WZPBFLN,1910-04-29,0,Carolina Association,regular,,Greenville,1,,Anderson,9,,,1:30,,,,,transcript/1910/1910-CEC/boxes/CEC-19100428.txt,"The (Charlotte) Evening Chronicle Apr 30, 1910",1,0,0,0,0,0,0,0,0,,,,,,,4,3,0,1,0,1,0,0,x,,,,,,
KYZHHKQ,1910-04-29,0,Carolina Association,regular,,Spartanburg,1,,Charlotte,1,,1500,2:15,,,,,transcript/1910/1910-CEC/boxes/CEC-19100428.txt,"The (Charlotte) Evening Chronicle Apr 30, 1910",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CQDKDNL,1910-04-29,0,Carolina Association,regular,,Winston-Salem,4,,Greensboro,3,,750,1:35,,,,,transcript/1910/1910-CEC/boxes/CEC-19100428.txt,"The (Charlotte) Evening Chronicle Apr 30, 1910",1,0,0,0,2,0,1,0,0,,,,,,,0,0,3,0,0,0,0,0,0,,,,,,
TVXBVTS,1910-05-02,0,Carolina Association,regular,,Greensboro,4,,Greenville,3,,1000,1:50,,,,,transcript/1910/1910-CEC/boxes/CEC-19100428.txt,"The (Charlotte) Evening Chronicle May 3, 1910",0,0,0,0,0,2,0,0,2,,,,,,,2,0,0,0,0,0,0,0,1,,,,,,
LTMRLVH,1910-05-02,0,Carolina Association,regular,,Anderson,12,,Spartanburg,2,,1800,2:00,,,,,transcript/1910/1910-CEC/boxes/CEC-19100428.txt,"The (Charlotte) Evening Chronicle May 3, 1910",2,2,1,0,0,2,2,3,0,,,,,,,0,2,0,0,0,0,0,0,0,,,,,,
XWSCHLF,1910-05-02,0,Carolina Association,regular,,Charlotte,8,,Winston-Salem,3,,1200,1:55,,,,,transcript/1910/1910-CEC/boxes/CEC-19100428.txt,"The (Charlotte0 Evening News May 3, 1910",2,0,0,0,4,0,0,2,0,,,,,,,3,0,0,0,0,0,0,0,0,,,,,,
FKXWZFS,1910-05-03,0,Carolina Association,regular,,Greensboro,5,,Greenville,7,,600,1:55,,,,,transcript/1910/1910-CEC/boxes/CEC-19100428.txt,"The (Charlotte) Evening Chronicle May 4, 1910",1,0,0,1,0,0,0,3,0,,,,,,,2,0,1,0,1,0,3,0,0,,,,,,
MNXMNNW,1910-05-03,0,Carolina Association,regular,,Anderson,0,,Spartanburg,4,,1000,1:30,,,,,transcript/1910/1910-CEC/boxes/CEC-19100428.txt,"The (Charlotte) Evening Chronicle May 4, 1910",0,0,0,0,0,0,0,0,0,,,,,,,2,1,0,0,0,1,0,0,x,,,,,,
QYPTHMK,1910-05-03,0,Carolina Association,regular,,Charlotte,2,,Winston-Salem,10,,800,1:45,,,,,transcript/1910/1910-CEC/boxes/CEC-19100428.txt,"The (Charlotte) Evening Chronicle May 4, 1910",2,0,0,0,0,0,0,0,0,,,,,,,2,6,0,0,0,0,1,1,0,,,,,,
HXNYKMC,1910-05-04,0,Carolina Association,regular,,Greensboro,0,,Greenville,2,,600,1:45,,,,,transcript/1910/1910-CEC/boxes/CEC-19100428.txt,"The (Charlotte) Evening Chronicle May 5, 1910",0,0,0,0,0,0,0,0,0,,,,,,,2,0,0,0,0,0,0,0,0,,,,,,
