key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15
XMNGMFM,1915-05-08,0,New York State,regular,,Utica,2,,Albany,4,,,,,,,,1915/1915-BPSB/BPSB-19150506.txt,"Binghamton Press & Sun-Bulletin, May 10, 1915",1,0,0,0,0,0,1,0,0,,,,,,,0,1,2,1,0,0,0,0,x,,,,,,
GYVKQSZ,1915-05-08,0,New York State,regular,,Scranton,2,,Binghamton,6,,,1:43,,,,,1915/1915-BPSB/BPSB-19150506.txt,"Binghamton Press & Sun-Bulletin, May 10, 1915",0,0,2,0,0,0,0,0,0,,,,,,,0,0,2,1,3,0,0,0,x,,,,,,
FVQBTBB,1915-05-08,0,New York State,regular,,Syracuse,2,,Troy,4,,,,,,,,1915/1915-BPSB/BPSB-19150506.txt,"Binghamton Press & Sun-Bulletin, May 10, 1915",0,0,0,0,0,0,0,2,0,,,,,,,2,0,0,0,0,0,0,2,x,,,,,,
TXZHSZJ,1915-05-15,0,New York State,regular,,Albany,3,,Syracuse,4,,,,,,,,1915/1915-BPSB/BPSB-19150513.txt,"Binghamton Press & Sun-Bulletin, May 17, 1915",0,0,1,0,0,0,0,0,2,0,,,,,,1,0,0,0,2,0,0,0,0,1,,,,,
HRVXSSF,1915-05-15,0,New York State,regular,,Troy,13,,Utica,3,,,,,,,,1915/1915-BPSB/BPSB-19150513.txt,"Binghamton Press & Sun-Bulletin, May 17, 1915",0,0,0,0,1,4,0,5,3,,,,,,,0,0,1,0,0,0,0,0,2,,,,,,
NDRDTQL,1915-05-15,1,New York State,regular,,Binghamton,3,,Wilkes-Barre,4,,,1:50,,,,,1915/1915-BPSB/BPSB-19150513.txt,"Binghamton Press & Sun-Bulletin, May 17, 1915",0,0,0,2,0,0,0,1,0,,,,,,,0,0,0,0,0,0,0,1,3,,,,,,
JPCPVYL,1915-05-15,2,New York State,regular,,Binghamton,2,,Wilkes-Barre,6,,,1:30,,,,,1915/1915-BPSB/BPSB-19150513.txt,"Binghamton Press & Sun-Bulletin, May 17, 1915",0,0,0,0,2,0,0,,,,,,,,,0,0,4,2,0,0,x,,,,,,,,
VRNRCVC,1915-05-22,0,New York State,regular,,Utica,2,,Binghamton,10,,,1:40,,,,,1915/1915-BPSB/BPSB-19150520.txt,"Binghamton Press & Sun-Bulletin, May 24, 1915",0,0,0,2,0,0,0,0,0,,,,,,,2,0,0,3,0,0,4,1,x,,,,,,
KLCXYTC,1915-05-22,0,New York State,regular,,Albany,1,,Troy,2,,,,,,,,1915/1915-BPSB/BPSB-19150520.txt,"Elmira Star-Gazette, May 24, 1915",1,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,1,0,0,0,1,,,,,,
DRZJWNX,1915-06-05,1,New York State,regular,,Albany,4,,Binghamton,5,,,1:47,,,,,1915/1915-BPSB/BPSB-19150603.txt,"Binghamton Press & Sun-Bulletin, June 7, 1915",0,1,0,0,1,0,2,0,0,,,,,,,0,0,0,3,0,0,0,2,x,,,,,,
CRCJTHT,1915-06-05,2,New York State,regular,,Albany,10,,Binghamton,16,,,1:50,,,,,1915/1915-BPSB/BPSB-19150603.txt,"Binghamton Press & Sun-Bulletin, June 7, 1915",4,0,2,0,2,0,2,,,,,,,,,6,0,0,6,4,0,x,,,,,,,,
QFYCBQJ,1915-06-05,0,New York State,regular,,Utica,0,,Scranton,4,,,,,,,,1915/1915-BPSB/BPSB-19150603.txt,"Binghamton Press & Sun-Bulletin, June 7, 1915",0,0,0,0,0,0,0,0,0,,,,,,,2,0,0,0,0,0,0,2,x,,,,,,
VLRYBTV,1915-06-05,0,New York State,regular,,Syracuse,2,,Wilkes-Barre,3,,,,,,,,1915/1915-BPSB/BPSB-19150603.txt,"Binghamton Press & Sun-Bulletin, June 7, 1915",0,0,0,0,1,0,0,1,0,,,,,,,0,1,0,0,0,1,0,0,1,,,,,,
