key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10
PFJXDGL,1909-06-15,0,Central Kansas,regular,,Ellsworth,8,,Clay Center,1,,,,,final,,,1909/1909-TDR/TDR-19090614.txt,"The Dispatch-Republican Jun 16, 1909",5,0,1,0,0,0,1,0,1,,1,0,0,0,0,0,0,0,0,
NHXKLWM,1909-06-16,0,Central Kansas,regular,,Salina,3,,Clay Center,4,,,2:05,,final,,,1909/1909-TDR/TDR-19090614.txt,"The Dispatch-Republican Jun 17, 1909",0,0,0,1,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,1
YVDBPFD,1909-06-19,0,Central Kansas,regular,,Clay Center,0,,Beloit,1,,,1:20,,final,,,1909/1909-TDR/TDR-19090614.txt,"The Dispatch-Republican Jun 21, 1909",0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,
MQMRJNX,1909-06-21,0,Central Kansas,regular,,Clay Center,0,,Minneapolis,4,,,1:00,,final,,,1909/1909-TDR/TDR-19090621.txt,"The Dispatch-Republican Jun 22, 1909",0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,0,
MMFXZWK,1909-06-22,0,Central Kansas,regular,,Minneapolis,3,,Clay Center,1,,,1:30,,final,,,1909/1909-TDR/TDR-19090621.txt,"The Daily-Republican Jun 23, 1909",0,1,2,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,
QLXYJPC,1909-06-28,0,Central Kansas,regular,,Beloit,8,,Clay Center,1,,300,1:30,,final,,,1909/1909-TDR/TDR-19090628.txt,"The Dispatch-Republican Jun 29, 1909",,,,,,,,,,,,,,,,,,,,
GPGRPNF,1909-06-29,0,Central Kansas,regular,,Beloit,0,,Clay Center,5,,,1:30,,final,,,1909/1909-TDR/TDR-19090628.txt,"The Dispatch-Republican Jun 30, 1909",,,,,,,,,,,,,,,,,,,,
THMZLNW,1909-06-30,0,Central Kansas,regular,,Minneapolis,5,,Clay Center,6,,200,1:45,,final,,,1909/1909-TDR/TDR-19090628.txt,"The Dispatch-Republican Jul 1, 1909",0,0,0,0,4,0,1,0,0,,0,0,0,0,0,0,0,0,6,
ZGWLCFJ,1909-07-01,0,Central Kansas,regular,,Minneapolis,9,,Clay Center,2,,200,1:45,,final,,,1909/1909-TDR/TDR-19090628.txt,"The Disptach-Republican Jul 2, 1909",2,2,0,0,0,0,3,2,0,,0,0,0,1,0,0,0,1,0,
QVXMWGH,1909-07-15,0,Central Kansas,regular,,Ellsworth,11,,Clay Center,2,,,1:40,,final,,,1909/1909-TDR/TDR-19090712.txt,"The Dispatch-Republican Jul 16, 1909",6,1,2,0,0,2,0,0,0,,0,2,0,0,0,0,0,0,0,
