key,date,number,league,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13
c0dc324e-2b5f-5e68-9997-92913e818ade,1915-05-04,0,Rio Grande Association,,Tucson,0,,Phoenix,5,,"1,000",1:50,,,,transcript/1915/1915-AR/boxes/AR-19150503.txt,"Arizona Republic, May 5, 1915",0,0,0,0,0,0,0,0,0,,,,,0,4,0,0,0,1,0,0,x,,,,
cf0b1c28-d669-52a4-ab2f-7b8b1ba080e5,1915-05-05,0,Rio Grande Association,,Douglas,1,,Albuquerque,11,,,,,,,transcript/1915/1915-AR/boxes/AR-19150503.txt,"Arizona Republic, May 6, 1915",1,0,0,0,0,0,0,0,0,,,,,2,1,2,0,0,1,3,2,x,,,,
ffe5b8c0-aa67-56b2-b809-8f026b3543ab,1915-05-05,0,Rio Grande Association,,Las Cruces,6,,El Paso,11,,,,,,,transcript/1915/1915-AR/boxes/AR-19150503.txt,"Arizona Republic, May 6, 1915",0,1,0,2,1,1,1,0,0,,,,,1,0,1,0,0,1,8,0,x,,,,
28649317-0cd4-5412-9363-9f2bb6c3a9c7,1915-05-05,0,Rio Grande Association,,Tucson,1,,Phoenix,4,,,1:55,,,,transcript/1915/1915-AR/boxes/AR-19150503.txt,"El Paso Herald, May 6, 1915",0,0,0,0,0,0,0,1,0,,,,,3,0,0,0,0,0,0,1,x,,,,
f7cc6cae-c368-5155-a914-51bab9426d94,1915-05-06,0,Rio Grande Association,,Douglas,,,Albuquerque,,,,,,postponed,rain,transcript/1915/1915-AR/boxes/AR-19150503.txt,"Arizona Republic, May 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,
1ec303bb-8650-5ffa-a4ca-89e0b75b7114,1915-05-06,0,Rio Grande Association,,Las Cruces,,,El Paso,,,,,,postponed,high wind,transcript/1915/1915-AR/boxes/AR-19150503.txt,"Arizona Republic, May 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,
4bfa9425-905d-5c66-9a79-0200512641cf,1915-05-06,0,Rio Grande Association,,Tucson,1,,Phoenix,3,,400,1:45,,,,transcript/1915/1915-AR/boxes/AR-19150503.txt,"Arizona Republic, May 7, 1915",0,0,0,0,0,0,0,1,0,,,,,2,0,1,0,0,0,0,0,x,,,,
d36e3f3c-22f6-503b-9c00-64b2fe59c131,1915-05-07,0,Rio Grande Association,,Douglas,5,,Albuquerque,13,,,,,,,transcript/1915/1915-AR/boxes/AR-19150503.txt,"Arizona Republic, May 8, 1915",3,0,0,0,0,0,2,0,0,,,,,5,1,0,2,1,3,0,1,x,,,,
a9db3883-c743-5ae6-818c-67f2f866ab14,1915-05-07,0,Rio Grande Association,,Las Cruces,,,El Paso,,,,,,postponed,high wind,transcript/1915/1915-AR/boxes/AR-19150503.txt,"Arizona Republic, May 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,
922956de-3b7e-520a-8b64-c15267fd5b8e,1915-05-07,0,Rio Grande Association,,Tucson,4,,Phoenix,6,,300,2:00,,,,transcript/1915/1915-AR/boxes/AR-19150503.txt,"Arizona Republic, May 8, 1915",0,0,0,0,0,0,3,0,1,,,,,0,1,0,0,1,1,0,3,x,,,,
f71a200a-23a1-5b4d-bc7c-a88d3854bf2c,1915-05-08,0,Rio Grande Association,,Douglas,5,,Albuquerque,17,,,,,,,transcript/1915/1915-AR/boxes/AR-19150503.txt,"Arizona Republic, May 9, 1915",2,1,1,0,1,0,0,0,0,,,,,1,1,4,6,0,2,1,2,x,,,,
74cf922a-01c5-51f1-97bc-8290f55797e1,1915-05-08,0,Rio Grande Association,,Las Cruces,4,,El Paso,11,,,,,,,transcript/1915/1915-AR/boxes/AR-19150503.txt,"Arizona Republic, May 9, 1915",0,0,0,0,1,0,3,0,0,,,,,0,0,0,4,2,1,0,4,x,,,,
