game.key,game.date,game.number,game.phase,name.full
MDHSKFP,1915-04-27,0,regular,Kane
SWKHZSK,1915-04-29,0,regular,Kane
FFZRGGJ,1915-04-30,0,regular,Kane
LQFYCBF,1915-05-01,0,regular,Kane
TLCKGMY,1915-05-02,0,regular,Kane
HSKSZYY,1915-05-04,0,regular,Kane
LYGCNNJ,1915-05-05,0,regular,Kane
NTQNSHC,1915-05-06,0,regular,Kane
WCWPPDD,1915-05-07,0,regular,Kane
KDJCMXZ,1915-05-08,0,regular,Sterling
LWQKDZW,1915-05-08,0,regular,Kane
FKLKZYQ,1915-05-09,0,regular,Kane
CYHNCFT,1915-05-15,0,regular,Kane
LGGSBLQ,1915-05-16,1,regular,Kane
PWXQKCG,1915-05-16,2,regular,Kane
CVLJMSP,1915-05-18,0,regular,Sterling
WTVQDFV,1915-05-19,0,regular,Sterling
FLJHTMX,1915-05-19,0,regular,Kane
GKSGNSY,1915-05-19,0,regular,Lew Bahaffey
MFLRPVP,1915-05-20,0,regular,Sterling
PLNZRJM,1915-05-20,0,regular,Kane
BVNZLFS,1915-05-20,0,regular,Lew Mehaffey
RKHPGBN,1915-05-21,0,regular,Sterling
JLZWQKS,1915-05-21,0,regular,Kane
RVLFFBB,1915-05-21,0,regular,Mahaffey
SBPRWZM,1915-05-22,0,regular,Stirling
LDJPPXG,1915-05-22,0,regular,Kane
RMLHFYW,1915-05-22,0,regular,Mahaffey
GCYLJVV,1915-05-23,0,regular,Sterling
JHRPFSY,1915-05-23,2,regular,Mahaffey
WNHJJHB,1915-05-23,0,regular,Kane
YZHCVNY,1915-05-25,0,regular,Sterling
FLXNCDW,1915-05-25,0,regular,Kane
YJXZZSP,1915-05-26,0,regular,Sterling
LZSXQQQ,1915-05-26,0,regular,Kane
XZBQFTD,1915-05-27,0,regular,Sterling
QRDNJJX,1915-05-27,0,regular,Kane
PWKLYKL,1915-05-28,0,regular,Sterling
HXTFWTG,1915-05-28,0,regular,Kane
KKYCCHK,1915-05-29,0,regular,Sterling
HCYMYQX,1915-05-29,0,regular,Kane
MHTZTSR,1915-05-30,0,regular,Sterling
RNYRLJB,1915-05-30,0,regular,Kane
ZZMGYHF,1915-05-31,0,regular,Kane
RPTTRVX,1915-06-01,0,regular,Kane
BFDQVZM,1915-06-02,0,regular,Kane
LQTBSMH,1915-06-03,0,regular,Kane
GWQBKVD,1915-06-04,0,regular,Kane
XYDPJJR,1915-06-05,0,regular,Kane
JGDTCKM,1915-06-06,0,regular,Kane
MKRLMCN,1915-06-08,0,regular,Sterling
DVRVVXT,1915-06-09,0,regular,Sterling
LHDXMBQ,1915-06-10,0,regular,Sterling
VXBRXDV,1915-06-11,0,regular,Sterling
TVNKMCK,1915-06-13,0,regular,Sterling
BHSMKTN,1915-06-15,0,regular,Kane
JXMGCTV,1915-06-16,0,regular,Kane
HKKWWWS,1915-06-16,0,regular,Brashear
TMQSNJC,1915-06-17,0,regular,Kane
YJRFPDF,1915-06-17,0,regular,Brashear
YJYKMDZ,1915-06-18,0,regular,Kane
YJYKMDZ,1915-06-18,0,regular,Quigley
GCPPCMV,1915-06-18,0,regular,Brashear
NNHKQJT,1915-06-19,0,regular,Kane
NNHKQJT,1915-06-19,0,regular,Quigley
JZZQLMZ,1915-06-19,0,regular,Brashear
KHHLLRR,1915-06-20,1,regular,Quigley
KHHLLRR,1915-06-20,1,regular,Kane
XPJYCGY,1915-06-20,2,regular,Kane
XPJYCGY,1915-06-20,2,regular,Quigley
HHXFTDH,1915-06-20,0,regular,Brashear
LYPZSST,1915-06-22,0,regular,Brashear
FGRTNNJ,1915-06-23,0,regular,Quigley
SKSSYNL,1915-06-23,0,regular,Brashear
PBSYXTF,1915-06-24,0,regular,Quigley
MKFBNTT,1915-06-24,0,regular,Brashear
NWBPHNG,1915-06-25,0,regular,Brashear
YRKXVTQ,1915-06-26,0,regular,Quigley
YXQPQGF,1915-06-26,0,regular,Brashear
FTJQDNV,1915-06-27,0,regular,Brashear
NHNQYNB,1915-06-29,0,regular,Brashear
MPVFNTM,1915-06-30,0,regular,Brashear
VXVVHZV,1915-07-01,0,regular,Brashear
ZXTTRCN,1915-07-02,0,regular,Brashear
WSDPVKQ,1915-07-03,0,regular,Brashear
SBKRYZQ,1915-07-04,1,regular,Brashear
KNRVXRF,1915-07-04,2,regular,Brashear
TGTGNSW,1915-07-05,1,regular,Brashear
DFLWJPK,1915-07-05,2,regular,Brashear
