game.key,league.year,league.name,game.date,game.number,game.phase,name.last,name.first
TBFTMRQ,1915,North Carolina State League,1915-04-22,0,regular,Cameron,
CQBHJDY,1915,North Carolina State League,1915-04-22,0,regular,Blackburn,
NXMCPGM,1915,North Carolina State League,1915-04-22,0,regular,Passateri,
ZBNSLZQ,1915,North Carolina State League,1915-04-23,0,regular,Cameron,
ZDMRHJT,1915,North Carolina State League,1915-04-23,0,regular,Blackburn,
WBXKHHQ,1915,North Carolina State League,1915-04-23,0,regular,Passateri,
YCDCZSW,1915,North Carolina State League,1915-04-24,0,regular,Cameron,
ZMFQPHW,1915,North Carolina State League,1915-04-24,0,regular,Blackburn,
BJNNFSS,1915,North Carolina State League,1915-04-24,0,regular,Pasateri,
FSYKBVL,1915,North Carolina State League,1915-04-26,0,regular,Blackburn,
GHZFLPQ,1915,North Carolina State League,1915-04-26,0,regular,Cameron,
LNCRKGD,1915,North Carolina State League,1915-04-26,0,regular,Passateri,
BBFPKBK,1915,North Carolina State League,1915-04-27,0,regular,Blackburn,
XXSJXYP,1915,North Carolina State League,1915-04-27,0,regular,Cameron,
LZZVPSC,1915,North Carolina State League,1915-04-27,0,regular,Passateri,
DSSJVYR,1915,North Carolina State League,1915-04-28,0,regular,Blackburn,
DLJRFHS,1915,North Carolina State League,1915-04-28,0,regular,Cameron,
GGXXFNT,1915,North Carolina State League,1915-04-28,0,regular,Passateri,
CHDHJNW,1915,North Carolina State League,1915-04-29,0,regular,Passateri,
MBZQCJQ,1915,North Carolina State League,1915-04-29,0,regular,Cameron,
HJWWHRS,1915,North Carolina State League,1915-04-29,0,regular,Blackburn,
KJFMNTM,1915,North Carolina State League,1915-04-30,0,regular,Passateri,
XNXXCKQ,1915,North Carolina State League,1915-04-30,0,regular,Cameron,
SYXNGFJ,1915,North Carolina State League,1915-04-30,0,regular,Blackburn,
JXSXLXR,1915,North Carolina State League,1915-05-01,0,regular,Passateri,
TCHNFGG,1915,North Carolina State League,1915-05-01,0,regular,Cameron,
BGCTYWY,1915,North Carolina State League,1915-05-01,0,regular,Blackburn,
XFMFGKW,1915,North Carolina State League,1915-05-03,0,regular,Passateri,
YRFFDPP,1915,North Carolina State League,1915-05-03,0,regular,Brandon,
QYHDGRN,1915,North Carolina State League,1915-05-03,0,regular,Blackburn,
BRWMNSX,1915,North Carolina State League,1915-05-04,0,regular,Boyle,
XDGZSTW,1915,North Carolina State League,1915-05-04,0,regular,Brandon,
DSBRSJP,1915,North Carolina State League,1915-05-04,0,regular,Blackburn,
LGTXFMT,1915,North Carolina State League,1915-05-05,0,regular,Boyle,
MLNDZZJ,1915,North Carolina State League,1915-05-05,0,regular,Brandon,
XWBXDCY,1915,North Carolina State League,1915-05-05,0,regular,Blackburn,
MPQGTNF,1915,North Carolina State League,1915-05-06,0,regular,Blackburn,
LQXPWKN,1915,North Carolina State League,1915-05-06,0,regular,Boyle,
DRRJMGK,1915,North Carolina State League,1915-05-06,0,regular,Sisson,
FDWRXXY,1915,North Carolina State League,1915-05-08,0,regular,Blackburn,
SXBSDJG,1915,North Carolina State League,1915-05-08,1,regular,Boyle,
ZTTJXTC,1915,North Carolina State League,1915-05-08,2,regular,Boyle,
RYQYWTG,1915,North Carolina State League,1915-05-08,0,regular,Sisson,
XJBCNMS,1915,North Carolina State League,1915-05-10,0,regular,Boyle,
TFNBDRL,1915,North Carolina State League,1915-05-10,0,regular,Passateri,
WRFXJHV,1915,North Carolina State League,1915-05-10,0,regular,Blackburn,
CPCSCFY,1915,North Carolina State League,1915-05-11,0,regular,Boyle,
QDBSBNB,1915,North Carolina State League,1915-05-11,0,regular,Passateri,
RZWSTDS,1915,North Carolina State League,1915-05-11,0,regular,Blackburn,
