league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST,U_G
1915,Blue Ridge League,regular,P2053189,Cleary,,1915-07-14,1915-08-18,24
1915,Blue Ridge League,regular,P1604466,Derr,,1915-07-20,1915-08-24,23
1915,Blue Ridge League,regular,P8279764,Glatts,,1915-06-08,1915-08-19,39
1915,Blue Ridge League,regular,P0697868,Glatts,J.,1915-06-29,1915-06-29,1
1915,Blue Ridge League,regular,P6147453,Haines,,1915-06-14,1915-06-14,1
1915,Blue Ridge League,regular,P2609530,Hanks,,1915-05-27,1915-07-14,22
1915,Blue Ridge League,regular,P6903285,James,,1915-07-13,1915-07-13,1
1915,Blue Ridge League,regular,P3368566,Lawrence,,1915-07-12,1915-07-12,1
1915,Blue Ridge League,regular,P6494580,McAtee,,1915-06-04,1915-07-24,33
1915,Blue Ridge League,regular,P0652666,R. Hanks,,1915-07-13,1915-07-13,1
1915,Blue Ridge League,regular,P2177870,Stradford,,1915-08-02,1915-08-03,2
1915,Blue Ridge League,regular,P8147792,Strafford,,1915-08-09,1915-08-09,1
1915,Blue Ridge League,regular,P9937246,Stratford,,1915-08-04,1915-08-11,4
1915,Blue Ridge League,regular,P7631273,Wagner,,1915-07-30,1915-07-30,1
