key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14
LLPNWDW,1911-05-01,0,Carolina Association,regular,,Charlotte,10,,Anderson,8,,500,2:30,,,,,transcript/1911/1911-CEC/boxes/CEC-19110427.txt,"The (Charlotte) Evening Chronicle, May 2, 1911",0,0,0,1,0,3,0,0,6,,,,,,0,3,0,2,1,2,0,0,0,,,,,
XFSSWSR,1911-05-01,0,Carolina Association,regular,,Greenville,8,,Spartanburg,13,,700,1:40,,,,,transcript/1911/1911-CEC/boxes/CEC-19110427.txt,"The (Charlotte) Evening Chronicle, May 2, 1911",2,0,0,0,0,2,0,4,0,,,,,,1,0,4,7,1,0,0,0,x,,,,,
RPPQKRX,1911-05-01,0,Carolina Association,regular,,Greensboro,1,,Winston-Salem,8,,1500,1:45,,,,,transcript/1911/1911-CEC/boxes/CEC-19110427.txt,"The (Charlotte) Evening Chronicle, May 2, 1911",1,0,0,0,0,0,0,0,0,,,,,,2,2,0,4,0,0,0,0,x,,,,,
RPWKXLW,1911-05-22,0,Carolina Association,regular,,Anderson,4,,Spartanburg,4,,1100,2:40,,,,,transcript/1911/1911-CEC/boxes/CEC-19110518.txt,"The (Charlotte) Evening Chronicle, May 23, 1911",2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0
NJKWCKS,1911-05-23,0,Carolina Association,regular,,Charlotte,0,,Greensboro,1,,750,1:26,,,,,transcript/1911/1911-CEC/boxes/CEC-19110518.txt,"The (Charlotte) Evening Chronicle, May 24, 1911",0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,0,0,0,,,,,
LFDSKVX,1911-05-23,0,Carolina Association,regular,,Winston-Salem,,,Greenville,,,,,,postponed,rain,,transcript/1911/1911-CEC/boxes/CEC-19110518.txt,"The (Charlotte) Evening Chronicle, May 24, 1911",,,,,,,,,,,,,,,,,,,,,,,,,,,,
FFDRRPT,1911-05-23,0,Carolina Association,regular,,Anderson,7,,Spartanburg,3,,750,1:40,,,,,transcript/1911/1911-CEC/boxes/CEC-19110518.txt,"The (Charlotte) Evening Chronicle, May 24, 1911",2,0,0,3,0,0,1,0,1,,,,,,1,0,0,0,1,0,0,0,1,,,,,
PBKLZKB,1911-05-27,0,Carolina Association,regular,,Greensboro,9,,Anderson,2,,,1:55,,,,,transcript/1911/1911-CEC/boxes/CEC-19110525.txt,"The (Charlotte) Evening Chronicle, May 28, 1911",1,1,5,0,0,1,0,0,1,,,,,,2,0,0,0,0,0,0,0,0,,,,,
JPRSWHS,1911-05-27,0,Carolina Association,regular,,Charlotte,7,,Greenville,6,,800,1:55,,,,,transcript/1911/1911-CEC/boxes/CEC-19110525.txt,"The (Charlotte) Evening Chronicle, May 28, 1911",6,1,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,1,0,0,5,,,,,
CKNHLSC,1911-06-09,0,Carolina Association,regular,,Winston-Salem,4,,Spartanburg,5,,400,1:45,,,,,transcript/1911/1911-CEC/boxes/CEC-19110609.txt,"The (Charlotte) Evening Chronicle, Jun 10, 1911",1,0,0,1,0,0,2,0,0,,,,,,1,0,2,0,1,0,0,1,x,,,,,
LHFPKWK,1911-07-29,0,Carolina Association,regular,,Greenville,1,,Anderson,7,,450,1:45,,,,,transcript/1911/1911-CEC/boxes/CEC-19110728.txt,"The (Charlotte) Evening Chronicle, Jul 30, 1911",0,0,0,1,0,0,0,0,0,,,,,,0,0,3,0,0,0,4,0,x,,,,,
VBMNBJZ,1911-07-29,0,Carolina Association,regular,,Greensboro,8,,Spartanburg,3,,250,1:35,,,,,transcript/1911/1911-CEC/boxes/CEC-19110728.txt,"The (Charlotte) Evening Chronicle, Jul 30, 1911",1,0,0,3,2,0,0,2,0,,,,,,2,0,0,0,0,0,0,1,0,,,,,
BDHTQDT,1911-07-29,0,Carolina Association,regular,,Charlotte,5,,Winston-Salem,1,,1600,2:00,,,,,transcript/1911/1911-CEC/boxes/CEC-19110728.txt,"The (Charlotte) Evening Chronicle, Jul 30, 1911",1,0,0,1,0,0,2,1,0,,,,,,0,1,0,0,0,0,0,0,0,,,,,
TNYVXCJ,1911-09-02,0,Carolina Association,regular,,Greenville,5,,Charlotte,6,,1000,1:25,,,,,transcript/1911/1911-CEC/boxes/CEC-19110901.txt,The (Charlotte) Evening Chronicle,0,0,0,0,0,0,1,2,2,0,0,0,,,0,0,4,0,0,0,0,1,0,0,0,1,,
