key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10
XBDRCZM,1915-06-08,0,Blue Ridge,regular,,Hanover,2,,Chambersburg,7,,,,,final,,,1915/1915-PI/PI-19150607.txt,"Philadelphia Inquirer, June 9, 1915",0,2,0,0,0,0,0,0,0,,1,0,3,0,2,1,0,0,x,
MWQSSSN,1915-06-08,0,Blue Ridge,regular,,Hagerstown,1,,Frederick,4,,,,,final,,,1915/1915-PI/PI-19150607.txt,"Philadelphia Inquirer, June 9, 1915",0,0,0,1,0,0,0,0,0,,3,0,0,0,0,0,0,1,x,
RWXRSNK,1915-06-08,0,Blue Ridge,regular,,Gettysburg,8,,Martinsburg,9,,,,,final,,,1915/1915-PI/PI-19150607.txt,"Philadelphia Inquirer, June 9, 1915",0,0,3,0,1,0,0,4,0,,2,0,3,0,3,0,0,1,x,
SMFKVGV,1915-06-09,0,Blue Ridge,regular,,Frederick,6,,Chambersburg,4,,,2:04,,final,,,1915/1915-PI/PI-19150607.txt,"Philadelphia Inquirer, June 10, 1915",0,0,1,1,1,1,0,0,0,2,1,0,3,0,0,0,0,0,0,0
BXCJZTQ,1915-06-09,0,Blue Ridge,regular,,Gettysburg,1,,Hagerstown,8,,,,,final,,,1915/1915-PI/PI-19150607.txt,"Philadelphia Inquirer, June 10, 1915",0,0,0,1,0,0,0,0,0,,3,0,0,2,2,0,1,0,x,
YGVLXJL,1915-06-09,0,Blue Ridge,regular,,Hanover,3,,Martinsburg,5,,,,,final,,,1915/1915-PI/PI-19150607.txt,"Philadelphia Inquirer, June 10, 1915",1,0,0,0,0,2,0,0,0,,1,0,0,0,0,2,0,2,x,
VYCHZFK,1915-06-10,0,Blue Ridge,regular,,Frederick,2,,Chambersburg,0,,,,,final,,,1915/1915-PI/PI-19150607.txt,"Philadelphia Inquirer, June 11, 1915",1,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
TZKKFHJ,1915-06-10,0,Blue Ridge,regular,,Gettysburg,0,,Hagerstown,1,,,,,final,,,1915/1915-PI/PI-19150607.txt,"Philadelphia Inquirer, June 11, 1915",0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,x,
CMRGXQJ,1915-06-10,0,Blue Ridge,regular,,Hanover,2,,Martinsburg,4,,,,,final,,,1915/1915-PI/PI-19150607.txt,"Philadelphia Inquirer, June 11, 1915",0,2,0,0,0,0,0,0,0,,0,0,2,2,0,0,0,0,x,
TZFYTYH,1915-06-11,0,Blue Ridge,regular,,Chambersburg,4,,Frederick,6,,,,,final,,,1915/1915-PI/PI-19150607.txt,"Philadelphia Inquirer, June 12, 1915",0,2,2,0,0,0,0,0,0,,0,3,0,2,1,0,0,0,x,
