league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST,U_G
1909,Arkansas State League,regular,P6962760,Bennett,,1909-06-13,1909-07-04,6
1909,Arkansas State League,regular,P6249932,Blackburn,,1909-06-28,1909-06-28,1
1909,Arkansas State League,regular,P4751058,Crottie,,1909-04-26,1909-04-27,2
1909,Arkansas State League,regular,P4888989,Crotty,,1909-04-23,1909-06-27,50
1909,Arkansas State League,regular,P5905001,Dawkins,,1909-04-21,1909-04-21,1
1909,Arkansas State League,regular,P1566265,Hastings,,1909-07-03,1909-07-07,3
1909,Arkansas State League,regular,P5216791,Jones,,1909-07-03,1909-07-03,1
1909,Arkansas State League,regular,P5897695,Kretzer,,1909-06-13,1909-06-13,1
1909,Arkansas State League,regular,P5164455,Lingenfelder,,1909-06-13,1909-06-13,1
1909,Arkansas State League,regular,P3955291,MacDonald,,1909-06-13,1909-06-14,2
1909,Arkansas State League,regular,P3861690,McDonald,,1909-04-15,1909-07-07,54
1909,Arkansas State League,regular,P7314468,McNulty,,1909-06-06,1909-06-06,1
1909,Arkansas State League,regular,P1543083,Osborn,,1909-04-15,1909-05-27,11
1909,Arkansas State League,regular,P4767408,Osborne,,1909-04-17,1909-06-08,32
1909,Arkansas State League,regular,P2344740,Ray,,1909-04-20,1909-04-20,1
1909,Arkansas State League,regular,P8688340,Riggs,,1909-06-09,1909-06-09,1
1909,Arkansas State League,regular,P5399298,Robinson,,1909-04-20,1909-04-20,1
1909,Arkansas State League,regular,P4195178,Rogers,,1909-06-28,1909-06-28,1
1909,Arkansas State League,regular,P9486162,Ryan,,1909-06-24,1909-07-07,11
1909,Arkansas State League,regular,P1281515,Shaw,,1909-07-04,1909-07-04,1
1909,Arkansas State League,regular,P9534205,Smith,,1909-04-16,1909-07-03,60
1909,Arkansas State League,regular,P0427272,Spencer,,1909-04-16,1909-04-19,4
1909,Arkansas State League,regular,P9201862,Sullivan,,1909-06-08,1909-06-13,4
1909,Arkansas State League,regular,P7239956,Swartzel,,1909-07-07,1909-07-07,1
1909,Arkansas State League,regular,P2958472,Wall,,1909-05-27,1909-05-28,2
1909,Arkansas State League,regular,P4989850,Walters,,1909-07-05,1909-07-05,1
1909,Arkansas State League,regular,P6198181,Wayman,,1909-07-03,1909-07-05,2
1909,Northeast Arkansas League,regular,P5004788,Crotty,,1909-07-31,1909-08-14,10
1909,Northeast Arkansas League,regular,P4844647,Dan Crotty,,1909-08-02,1909-08-03,2
1909,Northeast Arkansas League,regular,P1654357,Farabee,,1909-07-29,1909-07-29,1
1909,Northeast Arkansas League,regular,P8543397,McAdams,,1909-08-11,1909-08-11,1
1909,Northeast Arkansas League,regular,P9966801,McDonald,,1909-08-11,1909-08-11,1
1909,Northeast Arkansas League,regular,P8696553,Ryan,,1909-08-05,1909-08-14,8
1909,Northeast Arkansas League,regular,P7711410,Shauever,,1909-07-30,1909-07-30,1
1909,Northeast Arkansas League,regular,P0391341,Shauver,,1909-07-31,1909-07-31,1
1909,Northeast Arkansas League,regular,P3477108,Smith,,1909-07-26,1909-08-04,6
1909,Northeast Arkansas League,regular,P5306973,Sullivan,,1909-07-29,1909-07-30,2
1909,Northeast Arkansas League,regular,P6313980,Wayman,,1909-07-27,1909-07-27,1
1909,Northeast Arkansas League,regular,P7941322,Waymon,,1909-07-28,1909-07-28,1
1909,Northeast Arkansas League,regular,P8624752,Weiman,,1909-07-26,1909-07-26,1
1909,Northeast Arkansas League,regular,P2079630,Williamson,,1909-08-11,1909-08-11,1
1909,Southern Association,regular,P0333673,Carpenter,,1909-04-15,1909-08-14,98
1909,Southern Association,regular,P4348525,Cartenter,,1909-05-03,1909-05-03,1
1909,Southern Association,regular,P7392270,Fitsimmons,,1909-07-06,1909-07-06,1
1909,Southern Association,regular,P0261640,Fitzsimmons,,1909-04-15,1909-08-09,100
1909,Southern Association,regular,P5365401,Flood,,1909-07-20,1909-07-20,1
1909,Southern Association,regular,P9333071,Kellum,,1909-07-19,1909-07-20,2
1909,Southern Association,regular,P4299570,Matthews,,1909-07-20,1909-08-14,5
1909,Southern Association,regular,P7788994,Moran,,1909-04-15,1909-08-15,93
1909,Southern Association,regular,P3264619,O'Brien,,1909-04-15,1909-08-14,101
1909,Southern Association,regular,P9091943,O'Brien,Rudderham,1909-08-02,1909-08-02,1
1909,Southern Association,regular,P4595715,Pfeninger,,1909-05-31,1909-05-31,1
1909,Southern Association,regular,P4526385,Pfenninger,,1909-04-15,1909-08-15,102
1909,Southern Association,regular,P0488929,Rudderham,,1909-04-15,1909-08-13,100
1909,Southern Association,regular,P5429415,Rudderman,,1909-06-12,1909-06-12,1
1909,Southern Association,regular,P6464378,Shannon,,1909-07-20,1909-07-20,1
1909,Southern Association,regular,P0943537,Shields,,1909-08-12,1909-08-12,2
1909,Southern Association,regular,P6137967,Stickney,,1909-07-21,1909-07-21,1
1909,Southern Association,regular,P7277521,Wheeler,,1909-08-14,1909-08-14,1
