key,date,number,league,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16
c791bdc0-851c-5be9-8f25-4266a300cb58,1908-04-06,0,Cotton States,,Vicksburg,14,,Jackson,11,,,2:15,,,,transcript/1908/1908-MCA/boxes/CSTL-19080406.txt,"(Memphis) Commercial Appeal, April 7, 1908",3,1,2,0,1,5,0,2,0,,,,,,,,2,0,1,0,3,0,5,0,0,,,,,,,
cb397438-0cc8-57cc-9af6-0b3b1e0ff3d1,1908-04-06,0,Cotton States,,Meridian,2,,Monroe,8,,,1:50,,,,transcript/1908/1908-MCA/boxes/CSTL-19080406.txt,"(Memphis) Commercial Appeal, April 7, 1908",0,0,1,1,0,0,0,0,0,,,,,,,,3,0,2,1,0,1,0,0,*,,,,,,,
e12f6a6b-990d-5849-9613-7dc9095368ab,1908-04-07,0,Cotton States,,Gulfport,5,,Columbus,1,,,2:15,,,,transcript/1908/1908-MCA/boxes/CSTL-19080406.txt,"(Memphis) Commercial Appeal, April 8, 1908",0,0,1,0,0,0,0,0,0,0,4,,,,,,0,0,0,1,0,0,0,0,0,0,0,,,,,
41b5c7d8-d80b-53b4-b94f-9b41422c60b6,1908-04-07,0,Cotton States,,Vicksburg,3,,Jackson,1,,,1:40,,,,transcript/1908/1908-MCA/boxes/CSTL-19080406.txt,"(Memphis) Commercial Appeal, April 8, 1908",0,3,0,0,0,0,0,0,0,,,,,,,,0,1,0,0,0,0,0,0,0,,,,,,,
3638094f-a6cc-55ab-acf2-d0b782ddea7d,1908-04-07,0,Cotton States,,Meridian,6,,Monroe,13,,,2:00,,,,transcript/1908/1908-MCA/boxes/CSTL-19080406.txt,"(Memphis) Commercial Appeal, April 8, 1908",4,0,1,0,1,0,0,0,0,,,,,,,,5,2,0,0,2,0,0,4,*,,,,,,,
ce70443a-d5e5-5eba-bb21-eae0715b172e,1908-04-08,0,Cotton States,,Gulfport,0,,Columbus,8,,,1:40,,,,transcript/1908/1908-MCA/boxes/CSTL-19080406.txt,"(Memphis) Commercial Appeal, April 9, 1908",0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,3,0,0,5,0,*,,,,,,,
032c96d8-76ff-5ab1-84ef-6c3139f47815,1908-04-08,0,Cotton States,,Vicksburg,9,,Jackson,4,,,1:50,,,,transcript/1908/1908-MCA/boxes/CSTL-19080406.txt,"(Memphis) Commercial Appeal, April 9, 1908",0,0,0,3,1,0,1,3,1,,,,,,,,1,0,0,0,0,1,0,0,2,,,,,,,
12d5956b-3f14-5841-bd7f-f0d8711b2570,1908-04-08,0,Cotton States,,Meridian,1,,Monroe,10,,,1:25,,,,transcript/1908/1908-MCA/boxes/CSTL-19080406.txt,"(Memphis) Commercial Appeal, April 9, 1908",0,1,0,0,0,0,0,0,0,,,,,,,,0,1,4,0,1,4,0,0,*,,,,,,,
55dc40c4-8229-5e67-bb57-3ae8b808a395,1908-04-09,0,Cotton States,,Monroe,1,,Columbus,3,,,1:30,,,,transcript/1908/1908-MCA/boxes/CSTL-19080406.txt,"(Memphis) Commercial Appeal, April 10, 1908",1,0,0,0,0,0,0,0,0,,,,,,,,1,0,0,0,0,0,0,2,x,,,,,,,
8bdfc255-da88-5296-a376-5ac89a688ef6,1908-04-09,0,Cotton States,,Jackson,2,,Gulfport,1,,,1:45,,,,transcript/1908/1908-MCA/boxes/CSTL-19080406.txt,"(Memphis) Commercial Appeal, April 10, 1908",0,0,0,2,0,0,0,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,
7e859530-871d-5564-9e29-8cfa3d0361a1,1908-04-10,0,Cotton States,,Monroe,3,,Columbus,6,,,1:55,,,,transcript/1908/1908-MCA/boxes/CSTL-19080406.txt,"(Memphis) Commercial Appeal, April 11, 1908",2,0,0,0,0,0,1,0,0,,,,,,,,0,1,2,2,0,0,1,0,*,,,,,,,
22fcb827-8aa4-5d82-b807-d9d6e7d5eab3,1908-04-10,0,Cotton States,,Jackson,1,,Gulfport,2,,,1:30,,,,transcript/1908/1908-MCA/boxes/CSTL-19080406.txt,"(Memphis) Commercial Appeal, April 11, 1908",0,0,1,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,2,,,,,,,
f5e42b19-bc82-5525-bed2-b2f3c4d9c827,1908-04-10,0,Cotton States,,Meridian,12,,Vicksburg,7,,,1:57,,,,transcript/1908/1908-MCA/boxes/CSTL-19080406.txt,"(Memphis) Commercial Appeal, April 11, 1908",0,4,0,0,0,2,5,0,1,,,,,,,,3,0,0,2,0,0,2,0,0,,,,,,,
21cc6f7a-938b-5918-8952-eb17613a78c3,1908-04-11,0,Cotton States,,Monroe,3,,Columbus,7,,,2:00,,,,transcript/1908/1908-MCA/boxes/CSTL-19080406.txt,"(Memphis) Commercial Appeal, April 12, 1908",0,0,0,1,0,1,1,0,0,,,,,,,,0,0,1,2,1,2,1,0,*,,,,,,,
51cc432b-60ce-55d0-94b6-db9b9e2fbe41,1908-04-11,0,Cotton States,,Jackson,0,,Gulfport,6,,,2:00,,,,transcript/1908/1908-MCA/boxes/CSTL-19080406.txt,"(Memphis) Commercial Appeal, April 12, 1908",0,0,0,0,0,0,0,0,0,,,,,,,,0,0,3,0,0,1,0,2,*,,,,,,,
62d55e87-a4c0-5591-bf6c-dcaaf4b3df19,1908-04-11,0,Cotton States,,Meridian,5,,Vicksburg,3,,,1:55,,,,transcript/1908/1908-MCA/boxes/CSTL-19080406.txt,"(Memphis) Commercial Appeal, April 12, 1908",0,0,0,0,0,0,0,1,2,2,,,,,,,0,0,0,1,1,0,0,0,1,0,,,,,,
ab716e36-0257-555f-8c66-776de7a8421a,1908-04-12,0,Cotton States,,Meridian,4,,Vicksburg,1,,,1:17,,,,transcript/1908/1908-MCA/boxes/CSTL-19080406.txt,"(Memphis) Commercial Appeal, April 13, 1908",0,2,0,0,1,0,0,1,0,,,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,
faa1ee87-c892-5beb-a66d-582dc3cbf461,1908-04-13,0,Cotton States,,Columbus,3,,Gulfport,1,,,1:45,,,,transcript/1908/1908-MCA/boxes/CSTL-19080413.txt,"(Memphis) Commercial Appeal, April 14, 1908",0,0,1,0,0,0,0,0,2,,,,,,,,0,0,0,0,0,1,0,0,0,,,,,,,
b33153f0-f673-5c09-8714-64114d009d2a,1908-04-13,0,Cotton States,,Monroe,6,,Meridian,8,,,2:10,,,,transcript/1908/1908-MCA/boxes/CSTL-19080413.txt,"(Memphis) Commercial Appeal, April 14, 1908",0,2,0,1,2,0,1,0,0,,,,,,,,0,0,0,3,0,5,0,0,*,,,,,,,
ad4c4c47-11df-5d9f-b292-e024e63e5e62,1908-04-13,0,Cotton States,,Jackson,7,,Vicksburg,4,,,2:15,,,,transcript/1908/1908-MCA/boxes/CSTL-19080413.txt,"(Memphis) Commercial Appeal, April 14, 1908",0,0,0,0,3,0,3,1,0,,,,,,,,0,0,1,2,1,0,0,0,0,,,,,,,
ef2ecc0b-0c83-579e-a85a-a718b5a64b73,1908-04-14,0,Cotton States,,Columbus,0,,Gulfport,2,,,1:33,,,,transcript/1908/1908-MCA/boxes/CSTL-19080413.txt,"(Memphis) Commercial Appeal, April 15, 1908",0,0,0,0,0,0,0,0,0,,,,,,,,1,0,0,0,0,1,0,0,*,,,,,,,
