game.key,game.date,game.number,game.phase,name.full
CKTJNRC,1915-05-20,0,regular,Latham
CKTJNRC,1915-05-20,0,regular,Waters
SSQHKRF,1915-05-20,0,regular,Graham
QZCDVKQ,1915-05-20,0,regular,Finnell
VDZDTNC,1915-05-20,0,regular,Setley
WHGRSPS,1915-05-21,0,regular,Finnell
CNCGBZD,1915-05-22,0,regular,Setley
PGYWSTH,1915-05-22,0,regular,Graham
TRTLZHH,1915-05-22,0,regular,Finnel
GHVWGJN,1915-05-23,0,regular,Setley
YTQSGRD,1915-05-24,0,regular,Finnell
FVWSHKB,1915-05-24,0,regular,Latham
YLQGRPZ,1915-05-25,0,regular,Graham
YLQGRPZ,1915-05-25,0,regular,Waters
PSRBCMR,1915-05-25,0,regular,Latham
ZSPCZKD,1915-05-25,0,regular,Finnell
JFBVDTZ,1915-05-25,0,regular,Setley
DDDXBQX,1915-05-27,0,regular,Waters
DDDXBQX,1915-05-27,0,regular,Graham
HXKWYJB,1915-05-27,0,regular,Finnell
JCPBFKH,1915-05-27,0,regular,Latham
BKSQMHD,1915-05-27,0,regular,Setley
LMRWRZD,1915-05-28,0,regular,Graham
LMRWRZD,1915-05-28,0,regular,Waters
PBNMGWJ,1915-05-28,0,regular,Latham
ZTFXYSX,1915-05-28,0,regular,Finnell
VBKMLZH,1915-05-29,0,regular,Latham
VBKMLZH,1915-05-29,0,regular,Waters
YBNMKMW,1915-05-29,0,regular,Setley
DZDNPDR,1915-05-29,0,regular,Graham
WLJRWMF,1915-05-29,0,regular,Fennell
PCLNWVR,1915-05-31,1,regular,Setley
PCLNWVR,1915-05-31,1,regular,Latham
LBCDKZY,1915-05-31,2,regular,Latham
LBCDKZY,1915-05-31,2,regular,Setley
BYNVPMQ,1915-05-31,1,regular,Graham
TXHVXXB,1915-05-31,2,regular,Graham
TPRNHRY,1915-05-31,1,regular,Waters
GVYYPJW,1915-05-31,2,regular,Waters
BQTPKGY,1915-05-31,2,regular,Fennell
PNMLKKJ,1915-06-01,0,regular,Graham
ZDDBQLV,1915-06-01,0,regular,Waters
YJKTXSK,1915-06-01,0,regular,Fennell
NJGSKPN,1915-06-01,0,regular,Finnell
GPJQVPQ,1915-06-02,0,regular,Waters
JSPDBML,1915-06-03,0,regular,Finnell
NPXYQSR,1915-06-03,0,regular,Waters
CXTPRGV,1915-06-04,0,regular,Finnell
FLKMTYD,1915-06-04,0,regular,Waters
WVQWDWB,1915-06-05,0,regular,Graham
VQSYDJJ,1915-06-05,1,regular,Barry
VRYPGSJ,1915-06-05,2,regular,Barry
GFHFDWC,1915-06-05,0,regular,Finnell
DFRSLPG,1915-06-05,0,regular,Waters
XKQPKBB,1915-06-07,0,regular,Graham
RBRNSGD,1915-06-07,0,regular,Waters
VMRZJMZ,1915-06-07,0,regular,Finnell
DZPGCHX,1915-06-07,0,regular,Duggan
DPLHWZB,1915-06-08,0,regular,Barry
WCNJFWL,1915-06-08,0,regular,Graham
NDYGZFY,1915-06-08,1,regular,Waters
NDWFDMX,1915-06-08,2,regular,Waters
BFVZVMW,1915-06-09,0,regular,Barry
YWJHPBM,1915-06-09,0,regular,Graham
BSGNJKZ,1915-06-09,0,regular,Finnell
BRWHYYZ,1915-06-10,0,regular,Barry
QVGGMBC,1915-06-10,0,regular,Graham
PLZGNDK,1915-06-10,0,regular,Finnell
CHXGDLP,1915-06-10,0,regular,Waters
WZYTJPM,1915-06-11,0,regular,Barry
XTNCFNW,1915-06-11,0,regular,Waters
XSKNHDN,1915-06-11,0,regular,Graham
QBKTKVD,1915-06-11,0,regular,Finnell
MPCTMCJ,1915-06-12,1,regular,Barry
GSYCFFH,1915-06-12,2,regular,Barry
WWYJMHC,1915-06-12,0,regular,White
DJNYTQY,1915-06-12,0,regular,Finnell
NKMRTKH,1915-06-12,0,regular,Graham
YHQJVCD,1915-06-14,0,regular,Bulkeley
XGFCZKT,1915-06-14,0,regular,Graham
MNVXYZF,1915-06-16,0,regular,Graham
JWPYPKY,1915-06-16,1,regular,Bulkeley
PMXKVDD,1915-06-16,2,regular,Bulkeley
XHHHHDD,1915-06-16,0,regular,Waters
PTDKFSM,1915-06-16,0,regular,Finnell
WWXLHGY,1915-06-17,0,regular,Finnell
VZBGLNC,1915-06-17,0,regular,Bulkeley
BBMRWLZ,1915-06-17,0,regular,Waters
MCJJGNT,1915-06-17,0,regular,Graham
CRPQSQC,1915-06-18,0,regular,Finnell
KKFZSYM,1915-06-18,0,regular,Graham
DNHHXWK,1915-06-18,0,regular,Waters
KWSDLSH,1915-06-18,0,regular,Bulkeley
PGKDGRC,1915-06-19,0,regular,Graham
TFDZKCX,1915-06-19,0,regular,Buckley
TDMPGCQ,1915-06-19,0,regular,Waters
HNVLRCF,1915-06-19,1,regular,Finnell
DSGVCKX,1915-06-19,2,regular,Finnell
WNWWBCJ,1915-06-21,0,regular,Billiard
GCQRZNN,1915-06-21,0,regular,Finnell
NTFPBNJ,1915-06-21,0,regular,Waters
MFNKCCL,1915-06-21,0,regular,Buckley
MFNKCCL,1915-06-21,0,regular,Graham
WYNRZPY,1915-06-22,0,regular,Graham
SRRVMDP,1915-06-22,0,regular,Buckley
ZLNXNPY,1915-06-22,0,regular,Finnell
LHXCVNW,1915-06-22,0,regular,Waters
ZGTXYXG,1915-06-23,1,regular,Graham
SQYFRJQ,1915-06-23,2,regular,Graham
JQPFPQX,1915-06-23,0,regular,Finnell
WWQLPPX,1915-06-23,0,regular,Buckley
WWQLPPX,1915-06-23,0,regular,Benson
WWQLPPX,1915-06-23,0,regular,Walker
KWMLKNS,1915-06-24,0,regular,Waters
TCVJZTZ,1915-06-24,0,regular,Graham
DNPZDNF,1915-06-24,0,regular,Devlin
NQFRLQJ,1915-06-24,0,regular,Benson
NQFRLQJ,1915-06-24,0,regular,Murphy
NQFRLQJ,1915-06-24,0,regular,Finnell
GTBBDPK,1915-06-25,0,regular,Waters
LYHLWTS,1915-06-25,0,regular,Graham
CVGJJLV,1915-06-25,0,regular,Walker
CVGJJLV,1915-06-25,0,regular,Warwick
CVGJJLV,1915-06-25,0,regular,Devron
YCGPTNQ,1915-06-25,0,regular,Finnell
WQZRQKJ,1915-06-26,0,regular,Waters
FVNYVDR,1915-06-26,1,regular,Graham
DMFVVBT,1915-06-26,2,regular,Graham
HLNCLMQ,1915-06-26,1,regular,McGauley
NWXYGWC,1915-06-26,2,regular,McGauley
BGXLLQD,1915-06-28,0,regular,McAuley
YJJZXCH,1915-06-28,0,regular,Graham
YPHCHSZ,1915-06-28,0,regular,Finnell
TGXJVSH,1915-06-28,0,regular,Waters
GKHNXDS,1915-06-29,0,regular,McGanley
HKDDWBW,1915-06-29,0,regular,Finnell
JBNJVVW,1915-06-29,0,regular,Graham
ZDSCYFN,1915-06-29,0,regular,Waters
RRHYLFD,1915-06-30,0,regular,Waters
LNBTDYK,1915-06-30,0,regular,Buckley
LNBTDYK,1915-06-30,0,regular,Graham
THRZLQL,1915-06-30,0,regular,Finell
JPNWCLS,1915-07-02,0,regular,McGauley
SLLGNJX,1915-07-03,1,regular,Waters
RPQDQJF,1915-07-03,2,regular,Waters
NNXVZKZ,1915-07-03,1,regular,McGauley
TMJJSGS,1915-07-03,2,regular,McGauley
YFCJXNR,1915-07-03,1,regular,Finnell
VXYMNSV,1915-07-03,2,regular,Finnell
WFBMZNQ,1915-07-03,1,regular,Klobedanz
NHDTZYP,1915-07-03,2,regular,Buckley
