key,date,number,league,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15
d137771f-5743-571d-869a-f5508c68a641,1915-05-20,0,Colonial,,Brockton,5,,Fall River,2,,,1:40,,,,transcript/1915/1915-HC/boxes/HC-19150520.txt,"Hartford Courant, May 21, 1915",0,0,0,1,0,1,0,0,3,,,,,,,1,0,0,0,0,1,0,0,0,,,,,,
ebda8be1-6313-51cd-be5f-8e1104091f74,1915-05-20,0,Colonial,,New Haven,2,,Hartford,3,,,1:50,,,,transcript/1915/1915-HC/boxes/HC-19150520.txt,"Hartford Courant, May 21, 1915",1,0,0,1,0,0,0,0,0,,,,,,,2,0,0,0,0,1,0,0,x,,,,,,
1a83223e-ec7f-57ba-aea7-23e018e86408,1915-05-20,0,Colonial,,Pawtucket,6,,Springfield,8,,"1,200",2:05,,,,transcript/1915/1915-HC/boxes/HC-19150520.txt,"Hartford Courant, May 21, 1915",3,0,0,0,1,0,2,0,0,,,,,,,1,5,0,0,0,0,1,1,x,,,,,,
1561635b-3e66-5ada-94e9-0f8c4ed7eebd,1915-05-20,0,Colonial,,New Bedford,6,,Taunton,9,,,2:05,,,,transcript/1915/1915-HC/boxes/HC-19150520.txt,"Hartford Courant, May 21, 1915",2,0,0,0,2,0,1,0,0,,,,,,,0,0,1,2,3,3,0,0,x,,,,,,
b09b9beb-9615-5fea-9ebb-4daeb3bafe69,1915-05-21,0,Colonial,,Fall River,3,,Brockton,4,,,1:50,,,,transcript/1915/1915-HC/boxes/HC-19150520.txt,"Hartford Courant, May 22, 1915",0,2,1,0,0,0,0,0,0,,,,,,,0,2,0,0,0,2,0,0,x,,,,,,
f75bb6a9-6a04-50f7-97de-eb3a872aca9e,1915-05-21,0,Colonial,,New Haven,,,Hartford,,,,,,postponed,rain,transcript/1915/1915-HC/boxes/HC-19150520.txt,"Hartford Courant, May 22, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0709dc3f-109a-58b9-915d-9fedd8445cf5,1915-05-21,0,Colonial,,Taunton,,,New Bedford,,,,,,postponed,rain,transcript/1915/1915-HC/boxes/HC-19150520.txt,"Hartford Courant, May 22, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121a22d5-81da-54b6-843d-37b7d84b8c09,1915-05-21,0,Colonial,,Pawtucket,,,Springfield,,,,,,postponed,rain,transcript/1915/1915-HC/boxes/HC-19150520.txt,"Hartford Courant, May 22, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0da1f83b-3214-59a6-997d-bb7e94b986be,1915-05-22,0,Colonial,,Taunton,2,,Brockton,1,,700,1:45,,,,transcript/1915/1915-HC/boxes/HC-19150520.txt,"Hartford Courant, May 23, 1915",0,0,0,0,0,2,0,0,0,,,,,,,0,0,0,0,0,0,0,1,0,,,,,,
d45dbc39-5c19-5c0c-980a-e8f82d9988d3,1915-05-22,0,Colonial,,Springfield,,,Hartford,,,,,,postponed,rain,transcript/1915/1915-HC/boxes/HC-19150520.txt,"Hartford Courant, May 23, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
