game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first
SVFCSCM,1908,Eastern Kansas League,1908-06-22,0,regular,P2631822,L. Ludes,
LRRPZRG,1908,Eastern Kansas League,1908-06-22,0,regular,P6317860,Ashton,
RSFHCYP,1908,Eastern Kansas League,1908-06-23,0,regular,P2631822,L. Ludes,
RYKCFFM,1908,Eastern Kansas League,1908-06-23,0,regular,P6317860,Ashton,
JKQQNNH,1908,Eastern Kansas League,1908-06-23,0,regular,P7833071,Salthouse,
GPTVKYZ,1908,Eastern Kansas League,1908-06-24,0,regular,P3287314,Crow,
GPTVKYZ,1908,Eastern Kansas League,1908-06-24,0,regular,P3883412,Ludes,
XLZSLSK,1908,Eastern Kansas League,1908-06-24,0,regular,P6317860,Ashton,
QMHLHGV,1908,Eastern Kansas League,1908-06-24,0,regular,P7833071,Salthouse,
FLMKHZS,1908,Eastern Kansas League,1908-06-25,0,regular,P7833071,Salthouse,
WJSWJRH,1908,Eastern Kansas League,1908-06-25,0,regular,P6317860,Ashton,
SGGCTLT,1908,Eastern Kansas League,1908-06-26,0,regular,P7833071,Salthouse,
ZPGQYDB,1908,Eastern Kansas League,1908-06-26,0,regular,P8644554,Shaw,
VVNXDJC,1908,Eastern Kansas League,1908-06-26,0,regular,P6317860,Ashton,
NXYCHGT,1908,Eastern Kansas League,1908-06-27,0,regular,P3883412,Ludes,
TSFLXDL,1908,Eastern Kansas League,1908-06-29,0,regular,P2242807,,
CSCLHQH,1908,Eastern Kansas League,1908-06-29,0,regular,P2242807,,
QJKJDXD,1908,Eastern Kansas League,1908-06-30,0,regular,P6317860,Ashton,
RLYGZJP,1908,Eastern Kansas League,1908-07-01,0,regular,P6317860,Ashton,
NCTVSDK,1908,Eastern Kansas League,1908-07-01,0,regular,P3688041,Bush,
CNSZCLQ,1908,Eastern Kansas League,1908-07-02,0,regular,P2242807,,
VTGTJWM,1908,Eastern Kansas League,1908-07-02,0,regular,P6317860,Ashton,
HLJTVQX,1908,Eastern Kansas League,1908-07-03,0,regular,P3688041,Bush,
FJLLNNW,1908,Eastern Kansas League,1908-07-03,0,regular,P5833174,Rimer,
ZSLLHWQ,1908,Eastern Kansas League,1908-07-04,1,regular,P6317860,Ashton,
TQKBDRZ,1908,Eastern Kansas League,1908-07-04,2,regular,P6317860,Ashton,
PJWXLLZ,1908,Eastern Kansas League,1908-07-04,1,regular,P5833174,Rimer,
GCJQPNR,1908,Eastern Kansas League,1908-07-04,2,regular,P5833174,Rimer,
FZQSMFP,1908,Eastern Kansas League,1908-07-04,1,regular,P2242807,,
WQDRRDW,1908,Eastern Kansas League,1908-07-04,2,regular,P2242807,,
