league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST,U_G
1915,Eastern North Carolina League,regular,P5197508,Barnes,,1915-07-31,1915-07-31,1
1915,Eastern North Carolina League,regular,P4628993,Blalock,,1915-08-19,1915-08-24,4
1915,Eastern North Carolina League,regular,P3005453,Dunlap,,1915-08-25,1915-08-25,1
1915,Eastern North Carolina League,regular,P5341519,Henderson,,1915-08-10,1915-08-18,4
1915,Eastern North Carolina League,regular,P8509860,McConnell,,1915-08-21,1915-08-21,1
1915,Eastern North Carolina League,regular,P5342225,McDonnah,,1915-08-19,1915-08-20,2
1915,Eastern North Carolina League,regular,P9193413,Morris,,1915-08-06,1915-08-06,1
1915,Eastern North Carolina League,regular,P2390515,Robinson,,1915-08-05,1915-08-05,1
1915,Eastern North Carolina League,regular,P0700892,Shaw,,1915-08-04,1915-08-04,1
1915,Eastern North Carolina League,regular,P6745483,Worley,,1915-08-05,1915-08-05,1
1915,Western North Carolina League,regular,P0030383,Burg,,1915-07-28,1915-08-12,3
1915,Western North Carolina League,regular,P4306395,Cheney,,1915-08-19,1915-08-19,1
1915,Western North Carolina League,regular,P9503420,Evans,,1915-08-03,1915-08-03,1
1915,Western North Carolina League,regular,P2081228,Fox,,1915-08-06,1915-08-28,16
1915,Western North Carolina League,regular,P2457278,Gentel,,1915-08-05,1915-08-07,2
1915,Western North Carolina League,regular,P2943262,Gentle,,1915-07-28,1915-08-26,22
1915,Western North Carolina League,regular,P6218779,John Fox,,1915-08-07,1915-08-07,1
1915,Western North Carolina League,regular,P0563219,McKeithan,,1915-07-29,1915-08-24,4
1915,Western North Carolina League,regular,P0521198,Nelson,,1915-08-04,1915-08-25,4
1915,Western North Carolina League,regular,P8752791,Pearson,,1915-08-05,1915-08-05,1
1915,Western North Carolina League,regular,P4866576,Sindler,,1915-07-29,1915-07-29,1
1915,Western North Carolina League,regular,P7648592,Spaid,,1915-07-31,1915-07-31,1
1915,Western North Carolina League,regular,P1928486,Swann,,1915-08-05,1915-08-05,1
1915,Western North Carolina League,regular,P9734837,Terry,,1915-07-28,1915-08-12,2
1915,Western North Carolina League,regular,P6023165,Vitter,,1915-08-02,1915-08-02,1
