league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST,U_G
1915,South Atlantic League,finals,P3647204,Lauzon,,1915-07-21,1915-07-22,2
1915,South Atlantic League,finals,P7342757,Ryan,,1915-07-24,1915-07-27,4
1915,South Atlantic League,finals,P7703945,Vitter,,1915-07-21,1915-07-27,7
1915,South Atlantic League,regular,P8954345,Alton,,1915-06-12,1915-06-12,1
1915,South Atlantic League,regular,P0237037,Burmeister,,1915-04-29,1915-04-29,1
1915,South Atlantic League,regular,P5807233,Camnitz,,1915-06-11,1915-06-12,2
1915,South Atlantic League,regular,P2636720,Erwin,,1915-06-10,1915-06-10,1
1915,South Atlantic League,regular,P8778913,Harbison,,1915-04-12,1915-04-13,2
1915,South Atlantic League,regular,P0849632,Hawkins,,1915-04-26,1915-04-26,1
1915,South Atlantic League,regular,P0181169,Henry,,1915-04-26,1915-04-27,3
1915,South Atlantic League,regular,P7028404,Hill,,1915-05-04,1915-05-04,1
1915,South Atlantic League,regular,P9838560,Hoey,,1915-06-24,1915-07-20,24
1915,South Atlantic League,regular,P3647204,Lauzon,,1915-04-13,1915-07-20,88
1915,South Atlantic League,regular,P8174031,Lewis,,1915-05-05,1915-06-29,49
1915,South Atlantic League,regular,P2972054,Martin,,1915-07-07,1915-07-07,1
1915,South Atlantic League,regular,P3798088,Moran,,1915-04-12,1915-05-20,33
1915,South Atlantic League,regular,P7974783,Norcum,,1915-04-12,1915-05-01,19
1915,South Atlantic League,regular,P4218531,Pearson,,1915-06-05,1915-06-05,1
1915,South Atlantic League,regular,P6625928,Roth,,1915-04-30,1915-05-03,3
1915,South Atlantic League,regular,P7342757,Ryan,,1915-05-21,1915-07-20,52
1915,South Atlantic League,regular,P9406923,Shirley,,1915-07-07,1915-07-07,1
1915,South Atlantic League,regular,P8801840,Smith,,1915-07-09,1915-07-09,2
1915,South Atlantic League,regular,P5764101,Vetter,,1915-06-17,1915-06-17,1
1915,South Atlantic League,regular,P7703945,Vitter,,1915-04-12,1915-07-20,80
1915,South Atlantic League,regular,P8777284,Wood,,1915-06-09,1915-06-09,1
1915,South Atlantic League,regular,P7329906,Woolf,,1915-06-11,1915-06-11,1
