game.key,league.year,league.name,game.date,game.number,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_LOB,B_ROE,P_IP,P_R,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB
1f52cd6f-0755-5bf6-9780-3e8dc7fc7727,1915,Blue Ridge League,1915-05-27,0,Stricker,,Chambersburg,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f52cd6f-0755-5bf6-9780-3e8dc7fc7727,1915,Blue Ridge League,1915-05-27,0,Stroh,,Chambersburg,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f52cd6f-0755-5bf6-9780-3e8dc7fc7727,1915,Blue Ridge League,1915-05-27,0,TOTALS,,Chambersburg,,,,1,,7,,,,,,,,,,,,,,,,,,,,,,,2,,,
1f52cd6f-0755-5bf6-9780-3e8dc7fc7727,1915,Blue Ridge League,1915-05-27,0,Revener,,Hagerstown,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f52cd6f-0755-5bf6-9780-3e8dc7fc7727,1915,Blue Ridge League,1915-05-27,0,Laughlin,,Hagerstown,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f52cd6f-0755-5bf6-9780-3e8dc7fc7727,1915,Blue Ridge League,1915-05-27,0,TOTALS,,Hagerstown,,,,3,,9,,,,,,,,,,,,,,,,,,,,,,,0,,,
9fab2131-c7c5-5bb9-a89d-d44cdaea7371,1915,Blue Ridge League,1915-05-27,0,Stevens,,Frederick,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9fab2131-c7c5-5bb9-a89d-d44cdaea7371,1915,Blue Ridge League,1915-05-27,0,Whalen,,Frederick,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9fab2131-c7c5-5bb9-a89d-d44cdaea7371,1915,Blue Ridge League,1915-05-27,0,TOTALS,,Frederick,,,,14,,15,,,,,,,,,,,,,,,,,,,,,,,0,,,
9fab2131-c7c5-5bb9-a89d-d44cdaea7371,1915,Blue Ridge League,1915-05-27,0,Kelly,,Martinsburg,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
