key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,away.score.18,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17,home.score.18
BBSWPCT,1915-05-27,0,Blue Ridge,regular,,Hagerstown,,,Chambersburg,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150527.txt,"Gettysburg Star and Sentinel, May 28, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKTRCNT,1915-05-27,0,Blue Ridge,regular,,Martinsburg,,,Frederick,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150527.txt,"Gettysburg Star and Sentinel, May 28, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPNCVTN,1915-05-27,0,Blue Ridge,regular,,Gettysburg,,,Hanover,,,,1:30,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150527.txt,"Gettysburg Star and Sentinel, May 28, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYCTTRN,1915-05-28,0,Blue Ridge,regular,,Hanover,5,,Gettysburg,1,,,1:50,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150527.txt,"Gettysburg Star and Sentinel, May 29, 1915",0,0,0,0,4,0,0,0,1,,,,,,,,,,0,0,1,0,0,0,0,0,0,,,,,,,,,
RCPWWBX,1915-05-28,0,Blue Ridge,regular,,Chambersburg,,,Hagerstown,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150527.txt,"Gettysburg Star and Sentinel, May 29, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZRYRZQC,1915-05-28,0,Blue Ridge,regular,,Frederick,,,Martinsburg,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150527.txt,"Gettysburg Star and Sentinel, May 29, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZDNZCTS,1915-05-29,0,Blue Ridge,regular,,Chambersburg,,,Hagerstown,,,,,,postponed,rain,,transcript/1915/1915-GSS/boxes/BLRI-19150527.txt,"Gettysburg Star and Sentinel, June 1, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNDYLCH,1915-05-29,0,Blue Ridge,regular,,Gettysburg,3,,Hanover,4,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150527.txt,"Gettysburg Star and Sentinel, June 1, 1915",0,0,0,0,1,0,1,1,0,0,,,,,,,,,2,0,0,0,1,0,0,0,0,1,,,,,,,,
TGNMMXH,1915-05-29,0,Blue Ridge,regular,,Frederick,4,,Martinsburg,3,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150527.txt,"Gettysburg Star and Sentinel, June 1, 1915",0,0,2,0,0,0,2,0,0,,,,,,,,,,0,0,3,0,0,0,0,0,0,,,,,,,,,
CFZVHHV,1915-05-31,2,Blue Ridge,regular,,Gettysburg,5,,Frederick,7,,1400,2:15,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150531.txt,"Gettysburg Star and Sentinel, June 1, 1915",0,2,0,0,0,0,0,1,2,,,,,,,,,,1,0,0,1,4,1,0,0,x,,,,,,,,,
XVCMHKQ,1915-05-31,1,Blue Ridge,regular,,Frederick,,,Gettysburg,,,,,,postponed,wet grounds,,transcript/1915/1915-GSS/boxes/BLRI-19150531.txt,"Gettysburg Star and Sentinel, June 1, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRVXZLJ,1915-05-31,1,Blue Ridge,regular,,Martinsburg,,,Hagerstown,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150531.txt,"Gettysburg Star and Sentinel, June 1, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPYLKHR,1915-05-31,1,Blue Ridge,regular,,Chambersburg,,,Hanover,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150531.txt,"Gettysburg Star and Sentinel, June 1, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QJWQRXF,1915-05-31,2,Blue Ridge,regular,,Chambersburg,,,Hanover,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150531.txt,"Gettysburg Star and Sentinel, June 1, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDXVWCN,1915-05-31,2,Blue Ridge,regular,,Hagerstown,,,Martinsburg,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150531.txt,"Gettysburg Star and Sentinel, June 1, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZRCSQZJ,1915-06-01,0,Blue Ridge,regular,,Gettysburg,,,Chambersburg,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150531.txt,"Gettysburg Star and Sentinel, June 2, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDVWGZS,1915-06-02,0,Blue Ridge,regular,,Gettysburg,,,Chambersburg,,,,,,postponed,rain,,transcript/1915/1915-GSS/boxes/BLRI-19150531.txt,"Gettysburg Star and Sentinel, June 3, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VZTJTSG,1915-06-02,0,Blue Ridge,regular,,Hanover,,,Frederick,,,,,,postponed,rain,,transcript/1915/1915-GSS/boxes/BLRI-19150531.txt,"Gettysburg Star and Sentinel, June 3, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WVBXCQL,1915-06-02,0,Blue Ridge,regular,,Martinsburg,,,Hagerstown,,,,,,postponed,rain,,transcript/1915/1915-GSS/boxes/BLRI-19150531.txt,"Gettysburg Star and Sentinel, June 3, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTDDXQC,1915-06-03,0,Blue Ridge,regular,,Gettysburg,,,Chambersburg,,,,,,postponed,wet grounds,,transcript/1915/1915-GSS/boxes/BLRI-19150531.txt,"Gettysburg Star and Sentinel, June 4, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLNRLJS,1915-06-03,0,Blue Ridge,regular,,Hanover,,,Frederick,,,,,,postponed,wet grounds,,transcript/1915/1915-GSS/boxes/BLRI-19150531.txt,"Gettysburg Star and Sentinel, June 4, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLGNLFW,1915-06-03,0,Blue Ridge,regular,,Hagerstown,,,Martinsburg,,,,,,postponed,wet grounds,,transcript/1915/1915-GSS/boxes/BLRI-19150531.txt,"Gettysburg Star and Sentinel, June 4, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WXDBMZC,1915-06-04,0,Blue Ridge,regular,,Gettysburg,6,,Chambersburg,2,,,2:15,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150531.txt,"Gettysburg Star and Sentinel, June 5, 1915",0,1,0,0,4,0,0,1,0,,,,,,,,,,0,0,1,1,0,0,0,0,0,,,,,,,,,
FXCYWCG,1915-06-04,0,Blue Ridge,regular,,Frederick,,,Hagerstown,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150531.txt,"Gettysburg Star and Sentinel, June 5, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNJHMJK,1915-06-04,0,Blue Ridge,regular,,Martinsburg,,,Hanover,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150531.txt,"Gettysburg Star and Sentinel, June 5, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YQJRLYM,1915-06-05,0,Blue Ridge,regular,,Gettysburg,8,,Chambersburg,3,,,2:00,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150531.txt,"Gettysburg Star and Sentinel, June 7, 1915",0,0,1,2,0,1,3,0,0,,,,,,,,,,1,0,1,0,0,0,1,0,0,,,,,,,,,
RZKJPSZ,1915-06-05,0,Blue Ridge,regular,,Frederick,,,Hagerstown,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150531.txt,"Gettysburg Star and Sentinel, June 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFNDXMZ,1915-06-05,0,Blue Ridge,regular,,Martinsburg,,,Hanover,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150531.txt,"Gettysburg Star and Sentinel, June 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRYVRYD,1915-06-07,0,Blue Ridge,regular,,Hanover,2,,Chambersburg,7,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150607.txt,"Gettysburg Star and Sentinel, June 8, 1915",1,0,0,0,0,0,0,1,0,,,,,,,,,,0,0,0,0,0,0,0,7,x,,,,,,,,,
PKHSPXV,1915-06-07,0,Blue Ridge,regular,,Hagerstown,,,Frederick,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150607.txt,"Gettysburg Star and Sentinel, June 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSDQRRB,1915-06-07,0,Blue Ridge,regular,Hagerstown,Martinsburg,1,,Gettysburg,3,,,2:20,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150607.txt,"Gettysburg Star and Sentinel, June 8, 1915",0,0,0,1,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,1,0,2,x,,,,,,,,,
RXBHGPV,1915-06-08,0,Blue Ridge,regular,,Hanover,2,,Chambersburg,7,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150607.txt,"Gettysburg Star and Sentinel, June 9, 1915",0,2,0,0,0,0,0,0,0,,,,,,,,,,1,0,3,0,2,1,0,0,x,,,,,,,,,
CZGRKBJ,1915-06-08,0,Blue Ridge,regular,,Hagerstown,,,Frederick,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150607.txt,"Gettysburg Star and Sentinel, June 9, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
