key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13
ba668dbd-01a7-52b9-be7a-b075449fea38,1909-04-24,0,Arkansas State,regular,,Monroe,4,,Argenta,7,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",1,0,0,0,0,3,0,0,0,,,,,1,0,1,1,0,0,4,0,x,,,,
8c234cb5-d85b-5f74-a344-2346247d45ca,1909-04-24,0,Arkansas State,regular,,Jonesboro,3,,Fort Smith,1,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",0,0,0,1,0,0,0,0,2,,,,,0,0,0,0,0,1,0,0,0,,,,
d73570e9-7b53-536a-84e1-84afec1d8db7,1909-04-24,0,Arkansas State,regular,,Alexandria,7,,Hot Springs,11,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",2,1,2,0,0,0,0,1,1,,,,,0,4,0,0,1,0,2,4,x,,,,
ca666a86-6527-5406-a4f8-c300a39b2fe4,1909-04-24,0,Arkansas State,regular,,Helena,8,,Texarkana,4,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",0,2,2,0,0,1,2,0,1,,,,,2,0,1,0,0,0,1,0,0,,,,
071c5334-6dc8-544c-95ea-b2c52c36b561,1909-04-24,0,Southern Association,regular,,Montgomery,3,,Atlanta,2,,,1:50,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",2,0,0,0,0,0,0,1,0,,,,,0,0,0,1,0,0,0,0,1,,,,
7f451ebd-6444-59ef-abde-ec969cc45a95,1909-04-24,0,Southern Association,regular,,Nashville,4,,Birmingham,3,,,2:00,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",0,2,0,0,1,0,1,0,0,,,,,1,0,0,0,1,0,0,1,0,,,,
91ceaced-7250-565d-a012-9db0cf2c5f61,1909-04-24,0,Southern Association,regular,,Memphis,,,Mobile,,,,,,postponed,rain,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",,,,,,,,,,,,,,,,,,,,,,,,,,
a9f980ec-6241-5cd4-9804-fc9d466a1ae6,1909-04-24,0,Southern Association,regular,,Little Rock,4,,New Orleans,2,,,1:48,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",0,3,1,0,0,0,0,0,0,,,,,0,0,0,0,0,0,2,0,0,,,,
b5e48543-3b9e-51f3-8c45-d83561abb61b,1909-04-25,0,Arkansas State,regular,,Alexandria,3,,Hot Springs,4,,,,,,,2,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 26, 1909",1,0,0,0,0,1,0,0,0,0,1,,,0,2,0,0,0,0,0,0,0,0,2,,
0a0d415a-f411-5f58-9f3d-a438906fcba9,1909-04-25,0,Arkansas State,regular,,Helena,3,,Texarkana,9,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090419.txt,"(Memphis) Commercial Appeal, April 26, 1909",0,0,0,0,0,0,2,0,1,,,,,6,0,0,0,1,1,1,0,x,,,,
6eadf854-b849-5ad6-bd8b-5c2efbd3258f,1909-04-25,0,Southern Association,regular,,Nashville,,,Memphis,,,,,,postponed,travel delay for Memphis club,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 25, 1909",,,,,,,,,,,,,,,,,,,,,,,,,,
b502b480-06a8-56b0-8336-21322a1e085a,1909-04-25,0,Southern Association,regular,,Little Rock,3,,New Orleans,2,,,1:40,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090419.txt,"(Memphis) Commercial Appeal, April 26, 1909",0,0,1,0,0,0,1,1,0,,,,,0,0,0,0,0,0,2,0,0,,,,
