key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11
JVLYWTC,1915-11-06,0,California Winter,regular,,Chicago,4,,San Diego,7,,,1:35,,final,,,1915/1915-SDU/SDU-19151106.txt,"San Diego Union, November 7, 1915",0,2,0,0,0,1,0,1,0,,,0,1,1,2,1,1,0,1,x,,
BKYWJPX,1915-11-07,0,California Winter,regular,,Chicago,2,,San Diego,6,,,1:42,,final,,,1915/1915-SDU/SDU-19151106.txt,"San Diego Union, November 8, 1915",0,0,1,0,0,0,0,0,1,,,0,4,2,0,0,0,0,0,x,,
FYXCVSF,1915-11-13,0,California Winter,regular,,Cline-Cline,0,,Chicago,4,,,2:00,,final,,,1915/1915-SDU/SDU-19151113.txt,"San Diego Union, November 14, 1915",0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,2,0,1,x,,
PTKBNRV,1915-11-14,0,California Winter,regular,,Cline-Cline,6,,Chicago,0,,,1:34,,final,,,1915/1915-SDU/SDU-19151113.txt,"San Diego Union, November 15, 1915",0,0,0,2,0,0,0,4,0,,,0,0,0,0,0,0,0,0,0,,
WMZNQPP,1915-11-20,0,California Winter,regular,,Cline-Cline,5,,San Diego,6,,,2:07,,final,,#1,1915/1915-SDU/SDU-19151120.txt,"San Diego Union, November 21, 1915",0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,1
MTPMHKD,1915-11-21,0,California Winter,regular,,Cline-Cline,0,,San Diego,9,,,1:37,,final,,,1915/1915-SDU/SDU-19151120.txt,"San Diego Union, November 22, 1915",0,0,0,0,0,0,0,0,0,,,0,2,4,0,1,0,0,2,x,,
VLTWSTC,1915-11-25,0,Southern California Winter,regular,,Chicago,4,,San Diego,0,,,1:33,,final,,,1915/1915-SDU/SDU-19151120.txt,"San Diego Union, November 26, 1915",0,0,3,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
CJSNQNP,1915-11-27,0,California Winter,regular,,Chicago,3,,San Diego,2,,,2:00,,final,,,1915/1915-SDU/SDU-19151127.txt,"San Diego Union, November 28, 1915",0,0,0,0,0,1,1,1,0,,,0,0,0,1,0,0,0,1,0,,
MJXHNSH,1915-11-28,0,California Winter,regular,,Chicago,7,,San Diego,3,,,1:39,,final,,,1915/1915-SDU/SDU-19151127.txt,"San Diego Union, November 29, 1915",1,0,0,2,0,0,3,1,0,,,0,0,0,0,0,2,1,0,0,,
ZKJHNFM,1915-12-11,0,California Winter,regular,,Cline-Cline,2,,San Diego,5,,,1:30,,final,,,1915/1915-SDU/SDU-19151211.txt,"San Diego Union, December 12, 1915",0,0,2,0,0,0,0,0,0,,,1,0,1,0,0,1,2,0,x,,
DTCGBBS,1915-12-12,0,California Winter,regular,,Cline-Cline,2,,San Diego,7,,,1:24,,final,,,1915/1915-SDU/SDU-19151211.txt,"San Diego Union, December 13, 1915",2,0,0,0,0,0,0,0,0,,,1,0,1,0,0,1,0,4,x,,
SFBPVQJ,1915-12-18,0,California Winter,regular,,Chicago,7,,San Diego,6,,,2:00,,final,,,1915/1915-SDU/SDU-19151218.txt,"San Diego Union, December 19, 1915",0,1,2,0,3,0,0,2,0,,,0,1,0,0,0,3,2,0,0,,
ZWCFHCB,1915-12-19,0,California Winter,regular,,Chicago,7,,San Diego,3,,,2:09,,final,,,1915/1915-SDU/SDU-19151218.txt,"San Diego Union, December 20, 1915",1,0,0,2,0,0,3,1,0,,,0,0,0,0,0,2,1,0,0,,
CMBQBTL,1915-12-25,0,California Winter,regular,,Chicago,4,,San Diego,3,,,2:27,,final,,,1915/1915-SDU/SDU-19151225.txt,"San Diego Union, December 26, 1915",0,0,0,0,0,3,0,1,0,,,0,1,0,0,2,0,0,0,0,,
GNNRGZK,1915-12-26,0,California Winter,regular,,Chicago,3,,San Diego,2,,,1:48,,final,,,1915/1915-SDU/SDU-19151225.txt,"San Diego Union, December 27, 1915",0,1,0,0,0,1,0,0,1,,,2,0,0,0,0,0,0,0,0,,
