league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST,U_G
1911,Carolina Association,regular,P4805837,Leibrich,,1911-07-04,1911-07-04,1
1911,Carolina Association,regular,P5393020,Nugent,,1911-04-29,1911-07-13,6
1911,Carolina Association,regular,P4758125,O'Brian,,1911-05-09,1911-05-09,1
1911,Carolina Association,regular,P2365937,O'Brien,,1911-04-29,1911-04-29,1
1911,Carolina Association,regular,P1148716,Shea,,1911-04-29,1911-05-09,2
