key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,away.score.18,away.score.19,away.score.20,away.score.21,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17,home.score.18,home.score.19,home.score.20,home.score.21
RXMMFJZ,1915-08-17,0,North Carolina State,regular,,Winston-Salem,1,,Raleigh,2,,250,1:45,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150812.txt,"Charlotte Daily Observer, August 18, 1915",0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,
PVMWWYQ,1915-08-18,0,North Carolina State,regular,,Greensboro,6,,Asheville,2,,361,1:50,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150812.txt,"Charlotte Daily Observer, August 19, 1915",2,0,0,3,0,0,0,1,0,,,,,,,,,,,,,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,
ZJKVCFQ,1915-08-18,0,North Carolina State,regular,,Charlotte,5,,Durham,1,,800,1:40,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150812.txt,"Charlotte Daily Observer, August 19, 1915",3,2,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,
SVQNRBD,1915-08-18,0,North Carolina State,regular,,Winston-Salem,0,,Raleigh,2,,600,1:18,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150812.txt,"Charlotte Daily Observer, August 19, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,2,0,0,0,0,0,0,x,,,,,,,,,,,,
QNJGBGQ,1915-08-19,0,North Carolina State,regular,,Durham,,,Asheville,,,,,,postponed,rain,,transcript/1915/1915-CDO/boxes/NCSL-19150819.txt,"Charlotte Daily Observer, August 20, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMQRQGT,1915-08-19,0,North Carolina State,regular,,Charlotte,2,,Raleigh,4,,500,1:20,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150819.txt,"Charlotte Daily Observer, August 20, 1915",0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,2,0,0,2,0,0,0,0,x,,,,,,,,,,,,
BPQTGMY,1915-08-19,0,North Carolina State,regular,,Greensboro,2,,Winston-Salem,3,,400,1:45,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150819.txt,"Charlotte Daily Observer, August 20, 1915",0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,2,,,,,,,,,,,,
KWTLNLS,1915-08-20,1,North Carolina State,regular,,Durham,3,,Asheville,4,,475,1:45,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150819.txt,"Charlotte Daily Observer, August 21, 1915",0,0,0,2,0,0,1,0,0,0,0,0,,,,,,,,,,0,0,0,3,0,0,0,0,0,0,0,1,,,,,,,,,
NTGVSNP,1915-08-20,2,North Carolina State,regular,,Durham,2,,Asheville,3,,532,1:15,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150819.txt,"Charlotte Daily Observer, August 21, 1915",0,0,0,0,0,0,2,,,,,,,,,,,,,,,0,0,0,0,2,0,1,,,,,,,,,,,,,,
YLXKZXV,1915-08-20,0,North Carolina State,regular,,Charlotte,2,,Raleigh,0,,500,1:25,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150819.txt,"Charlotte Daily Observer, August 21, 1915",0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
TMZJJBL,1915-08-20,0,North Carolina State,regular,,Greensboro,2,,Winston-Salem,2,,250,1:50,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150819.txt,"Charlotte Daily Observer, August 21, 1915",0,0,0,0,0,2,0,0,0,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,
ZVRLZWP,1915-08-21,0,North Carolina State,regular,,Durham,0,,Asheville,2,,825,1:20,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150819.txt,"Charlotte Daily Observer, August 22, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,2,0,x,,,,,,,,,,,,
VSYWGCS,1915-08-21,0,North Carolina State,regular,,Charlotte,2,,Raleigh,0,,600,1:22,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150819.txt,"Charlotte Daily Observer, August 22, 1915",0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
RRNDMSC,1915-08-21,0,North Carolina State,regular,,Greensboro,4,,Winston-Salem,1,,500,1:52,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150819.txt,"Charlotte Daily Observer, August 22, 1915",1,0,0,0,2,0,0,1,0,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,
ZQYMVBW,1915-08-23,0,North Carolina State,regular,,Durham,0,,Charlotte,4,,650,1:30,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150819.txt,"Charlotte Daily Observer, August 24, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,0,0,0,0,1,2,0,x,,,,,,,,,,,,
GZSRMTW,1915-08-23,0,North Carolina State,regular,,Asheville,1,,Greensboro,0,,700,1:30,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150819.txt,"Charlotte Daily Observer, August 24, 1915",0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
MKTQLXC,1915-08-23,0,North Carolina State,regular,,Raleigh,8,,Winston-Salem,1,,250,1:26,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150819.txt,"Charlotte Daily Observer, August 24, 1915",1,0,0,0,0,0,4,0,3,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,
PCTTBBH,1915-08-24,0,North Carolina State,regular,,Durham,3,,Charlotte,17,,1008,1:35,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150819.txt,"Charlotte Daily Observer, August 25, 1915",0,0,1,1,0,0,0,1,0,,,,,,,,,,,,,0,5,1,3,2,1,4,1,x,,,,,,,,,,,,
BDPNTQC,1915-08-24,0,North Carolina State,regular,,Asheville,4,,Greensboro,1,,550,1:48,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150819.txt,"Charlotte Daily Observer, August 25, 1915",0,0,0,0,0,2,1,1,0,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
DCZZDCG,1915-08-24,0,North Carolina State,regular,,Raleigh,0,,Winston-Salem,1,,400,1:25,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150819.txt,"Charlotte Daily Observer, August 25, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,0,0,0,0,0,0,0,x,,,,,,,,,,,,
SPRQTBZ,1915-08-25,0,North Carolina State,regular,,Durham,7,,Charlotte,1,,,1:30,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150819.txt,"Charlotte Daily Observer, August 26, 1915",0,0,0,2,0,0,0,0,5,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,
LMMXSFK,1915-08-25,0,North Carolina State,regular,,Asheville,7,,Greensboro,0,,575,1:45,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150819.txt,"Charlotte Daily Observer, August 26, 1915",0,2,0,0,1,2,0,1,1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
SMFYGDC,1915-08-25,0,North Carolina State,regular,,Raleigh,5,,Winston-Salem,7,,300,1:48,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150819.txt,"Charlotte Daily Observer, August 26, 1915",0,3,2,0,0,0,0,0,0,,,,,,,,,,,,,2,1,1,1,2,0,0,0,x,,,,,,,,,,,,
YBZYDKY,1915-08-26,0,North Carolina State,regular,,Winston-Salem,4,,Asheville,9,,595,1:45,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150826.txt,"Charlotte Daily Observer, August 27, 1915",0,0,1,1,0,0,0,2,0,,,,,,,,,,,,,2,0,1,1,2,2,2,0,x,,,,,,,,,,,,
BBBWWPQ,1915-08-26,0,North Carolina State,regular,,Raleigh,3,,Durham,0,,750,1:25,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150826.txt,"Charlotte Daily Observer, August 27, 1915",0,1,0,0,0,0,1,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
GMPCDHL,1915-08-26,0,North Carolina State,regular,,Charlotte,0,,Greensboro,5,,600,1:50,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150826.txt,"Charlotte Daily Observer, August 27, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,0,0,0,0,4,0,0,x,,,,,,,,,,,,
SKYPRYG,1915-08-27,0,North Carolina State,regular,,Winston-Salem,2,,Asheville,3,,433,2:06,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150826.txt,"Charlotte Daily Observer, August 28, 1915",0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,1,,,,,,,,,,,
TPVPLFL,1915-08-27,0,North Carolina State,regular,,Raleigh,,,Durham,,,,,,postponed,rain,,transcript/1915/1915-CDO/boxes/NCSL-19150826.txt,"Charlotte Daily Observer, August 28, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FVJMYDY,1915-08-27,0,North Carolina State,regular,,Charlotte,,,Greensboro,,,,,,postponed,rain,,transcript/1915/1915-CDO/boxes/NCSL-19150826.txt,"Charlotte Daily Observer, August 28, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XVPKSBY,1915-08-28,0,North Carolina State,regular,,Winston-Salem,2,,Asheville,3,,603,1:57,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150826.txt,"Charlotte Daily Observer, August 29, 1915",0,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,1,,,,,,,,,,,
YZWXYNX,1915-08-28,1,North Carolina State,regular,,Raleigh,2,,Durham,3,,900,1:35,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150826.txt,"Charlotte Daily Observer, August 29, 1915",0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,2,1,x,,,,,,,,,,,,
ZRSDSCZ,1915-08-28,2,North Carolina State,regular,,Raleigh,0,,Durham,4,,900,1:10,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150826.txt,"Charlotte Daily Observer, August 29, 1915",0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,3,0,0,1,0,x,,,,,,,,,,,,,,
NPKLTNL,1915-08-28,0,North Carolina State,regular,,Charlotte,5,,Greensboro,2,,417,:59,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150826.txt,"Charlotte Daily Observer, August 29, 1915",0,1,0,4,0,0,,,,,,,,,,,,,,,,2,0,0,0,0,0,,,,,,,,,,,,,,,
JXNHFQM,1915-08-30,0,North Carolina State,regular,,Charlotte,4,,Asheville,3,,652,1:50,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150826.txt,"Charlotte Daily Observer, August 31, 1915",1,0,0,0,2,0,1,0,0,,,,,,,,,,,,,1,0,0,0,0,0,0,0,2,,,,,,,,,,,,
QZDRJMP,1915-08-30,0,North Carolina State,regular,,Greensboro,0,,Raleigh,5,,400,1:15,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150826.txt,"Charlotte Daily Observer, August 31, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,1,2,0,0,0,2,0,x,,,,,,,,,,,,
QSMDKTS,1915-08-30,0,North Carolina State,regular,,Durham,1,,Winston-Salem,0,,250,1:35,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150826.txt,"Charlotte Daily Observer, August 31, 1915",0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
RDGNJQP,1915-08-31,0,North Carolina State,regular,,Charlotte,8,,Asheville,3,,589,1:30,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150826.txt,"Charlotte Daily Observer, September 1, 1915",0,6,0,0,0,1,0,1,0,,,,,,,,,,,,,0,0,2,0,0,0,0,1,0,,,,,,,,,,,,
FBBCQVV,1915-08-31,0,North Carolina State,regular,,Greensboro,0,,Raleigh,3,,300,1:40,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150826.txt,"Charlotte Daily Observer, September 1, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2,0,0,0,0,0,0,1,x,,,,,,,,,,,,
ZTWTYSF,1915-08-31,0,North Carolina State,regular,,Durham,,,Winston-Salem,,,,,,postponed,rain,,transcript/1915/1915-CDO/boxes/NCSL-19150826.txt,"Charlotte Daily Observer, September 1, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMCNDTK,1915-09-01,0,North Carolina State,regular,,Charlotte,3,,Asheville,2,,719,1:30,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150826.txt,"Charlotte Daily Observer, September 2, 1915",0,3,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,
DXNLJQH,1915-09-01,0,North Carolina State,regular,,Greensboro,2,,Raleigh,4,,400,1:35,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150826.txt,"Charlotte Daily Observer, September 2, 1915",0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,0,0,2,0,0,2,0,0,x,,,,,,,,,,,,
VXHYZCC,1915-09-01,1,North Carolina State,regular,,Durham,7,,Winston-Salem,4,,650,1:55,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150826.txt,"Charlotte Daily Observer, September 2, 1915",0,2,0,0,0,4,0,1,0,,,,,,,,,,,,,2,0,0,0,0,2,0,0,0,,,,,,,,,,,,
KHFGRYZ,1915-09-01,2,North Carolina State,regular,,Durham,1,,Winston-Salem,2,,700,1:20,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150826.txt,"Charlotte Daily Observer, September 2, 1915",0,0,0,0,0,1,0,,,,,,,,,,,,,,,1,0,0,0,0,1,x,,,,,,,,,,,,,,
KBSHGVY,1915-09-02,0,North Carolina State,regular,,Winston-Salem,1,,Charlotte,2,,500,2:05,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150902.txt,"Charlotte Daily Observer, September 3, 1915",1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,
HQCRBSX,1915-09-02,0,North Carolina State,regular,,Greensboro,,,Durham,,,,,,postponed,rain,,transcript/1915/1915-CDO/boxes/NCSL-19150902.txt,"Charlotte Daily Observer, September 3, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSVBVDY,1915-09-02,0,North Carolina State,regular,,Asheville,,,Raleigh,,,,,,postponed,rain,,transcript/1915/1915-CDO/boxes/NCSL-19150902.txt,"Charlotte Daily Observer, September 3, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMCJVBS,1915-09-03,0,North Carolina State,regular,,Winston-Salem,0,,Charlotte,1,,250,1:30,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150902.txt,"Charlotte Daily Observer, September 4, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,1,0,0,0,x,,,,,,,,,,,,
QHQKPXJ,1915-09-03,0,North Carolina State,regular,,Greensboro,,,Durham,,,,,,postponed,rain,,transcript/1915/1915-CDO/boxes/NCSL-19150902.txt,"Charlotte Daily Observer, September 4, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZSHLBHT,1915-09-03,0,North Carolina State,regular,,Asheville,,,Raleigh,,,,,,postponed,rain,,transcript/1915/1915-CDO/boxes/NCSL-19150902.txt,"Charlotte Daily Observer, September 4, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCBFDX,1915-09-04,0,North Carolina State,regular,,Winston-Salem,5,,Charlotte,2,,350,1:35,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150902.txt,"Charlotte Daily Observer, September 5, 1915",1,0,2,0,2,0,0,0,,,,,,,,,,,,,,1,0,0,0,1,0,0,x,,,,,,,,,,,,,
BQGDHWW,1915-09-04,1,North Carolina State,regular,,Greensboro,2,,Durham,3,,500,1:30,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150902.txt,"Charlotte Daily Observer, September 5, 1915",0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,3,0,0,0,0,0,0,0,x,,,,,,,,,,,,
RNXZFZZ,1915-09-04,2,North Carolina State,regular,,Greensboro,3,,Durham,8,,500,1:40,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150902.txt,"Charlotte Daily Observer, September 5, 1915",0,0,1,0,0,2,0,,,,,,,,,,,,,,,3,0,0,0,0,5,x,,,,,,,,,,,,,,
TCLQYXL,1915-09-04,1,North Carolina State,regular,,Asheville,0,,Raleigh,2,,"1,000",1:18,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150902.txt,"Charlotte Daily Observer, September 5, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2,0,0,0,0,0,0,0,x,,,,,,,,,,,,
PNRGGCL,1915-09-04,2,North Carolina State,regular,,Asheville,2,,Raleigh,1,,"1,125",1:15,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150902.txt,"Charlotte Daily Observer, September 5, 1915",1,0,0,1,0,0,0,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,,,,,,,,,,
KHPXXRM,1915-09-06,1,North Carolina State,regular,,Asheville,1,,Charlotte,3,,600,1:30,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150902.txt,"Charlotte Daily Observer, September 7, 1915",0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,3,0,0,0,0,0,0,0,x,,,,,,,,,,,,
GYJVSXL,1915-09-06,2,North Carolina State,regular,,Asheville,1,,Charlotte,4,,"1,400",1:35,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150902.txt,"Charlotte Daily Observer, September 7, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,2,0,1,0,0,0,0,x,,,,,,,,,,,,
VBQCMBK,1915-09-06,1,North Carolina State,regular,,Raleigh,4,,Durham,0,,700,1:45,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150902.txt,"Charlotte Daily Observer, September 7, 1915",2,0,0,0,2,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
KXTGPWB,1915-09-06,1,North Carolina State,regular,,Winston-Salem,4,,Greensboro,0,,250,1:20,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150902.txt,"Charlotte Daily Observer, September 7, 1915",0,0,0,0,0,0,4,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
HDDVWXX,1915-09-06,2,North Carolina State,regular,,Durham,2,,Raleigh,2,,"1,700",2:35,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150902.txt,"Charlotte Daily Observer, September 7, 1915",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,
HCBJZQH,1915-09-06,2,North Carolina State,regular,,Greensboro,1,,Winston-Salem,7,,500,1:47,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150902.txt,"Charlotte Daily Observer, September 7, 1915",0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,1,0,2,0,1,1,1,1,x,,,,,,,,,,,,
VDHFMMB,1915-09-07,0,North Carolina State,regular,,Asheville,5,,Charlotte,3,,800,1:40,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150902.txt,"Charlotte Daily Observer, September 8, 1915",0,0,2,0,2,0,1,0,0,,,,,,,,,,,,,0,0,1,0,0,0,0,0,2,,,,,,,,,,,,
NPRRMVW,1915-09-07,0,North Carolina State,regular,,Durham,3,,Raleigh,2,,400,1:25,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150902.txt,"Charlotte Daily Observer, September 8, 1915",0,2,1,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,
RSDFFKL,1915-09-07,0,North Carolina State,regular,,Greensboro,0,,Winston-Salem,11,,200,1:45,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150902.txt,"Charlotte Daily Observer, September 8, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,0,0,0,3,1,4,2,x,,,,,,,,,,,,
YJLYZDL,1915-09-08,0,North Carolina State,regular,,Asheville,3,,Charlotte,5,,800,1:50,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150902.txt,"Charlotte Daily Observer, September 9, 1915",2,0,0,1,0,0,0,0,0,,,,,,,,,,,,,1,0,0,2,1,1,0,0,x,,,,,,,,,,,,
LVXGYPR,1915-09-08,0,North Carolina State,regular,,Durham,2,,Raleigh,0,,850,1:25,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150902.txt,"Charlotte Daily Observer, September 9, 1915",0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
JNSTPBY,1915-09-08,0,North Carolina State,regular,,Greensboro,4,,Winston-Salem,15,,150,1:55,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150902.txt,"Charlotte Daily Observer, September 9, 1915",0,0,0,0,1,2,0,0,1,,,,,,,,,,,,,3,0,0,10,0,1,0,1,x,,,,,,,,,,,,
KQMXVRX,1915-09-09,0,North Carolina State,regular,,Raleigh,6,,Asheville,8,,650,1:45,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150909.txt,"Charlotte Daily Observer, September 10, 1915",0,0,0,0,0,0,5,1,0,,,,,,,,,,,,,2,0,0,0,1,0,3,2,x,,,,,,,,,,,,
MBPTMXP,1915-09-09,0,North Carolina State,regular,,Durham,4,,Greensboro,3,,500,1:40,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150909.txt,"Charlotte Daily Observer, September 10, 1915",2,0,0,0,0,2,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,2,1,,,,,,,,,,,,
BKVZSTK,1915-09-09,0,North Carolina State,regular,,Charlotte,1,,Winston-Salem,5,,500,1:35,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150909.txt,"Charlotte Daily Observer, September 10, 1915",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,1,0,1,0,0,0,0,3,x,,,,,,,,,,,,
SBJYXJY,1915-09-10,0,North Carolina State,regular,,Raleigh,1,,Asheville,2,,883,1:15,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150909.txt,"Charlotte Daily Observer, September 11, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,x,,,,,,,,,,,,
BLPWBTP,1915-09-10,0,North Carolina State,regular,,Durham,7,,Greensboro,11,,300,1:45,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150909.txt,"Charlotte Daily Observer, September 11, 1915",0,0,0,1,0,1,0,1,4,,,,,,,,,,,,,0,0,0,4,4,1,0,2,x,,,,,,,,,,,,
BHBXBZS,1915-09-10,0,North Carolina State,regular,,Charlotte,3,,Winston-Salem,4,,350,1:40,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150909.txt,"Charlotte Daily Observer, September 11, 1915",0,0,0,0,1,0,2,0,0,,,,,,,,,,,,,2,0,1,0,0,0,0,1,x,,,,,,,,,,,,
PNKWPTH,1915-09-11,0,North Carolina State,regular,,Raleigh,2,,Asheville,7,,"1,127",1:15,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150909.txt,"Charlotte Daily Observer, September 12, 1915",0,0,0,0,0,2,0,0,0,,,,,,,,,,,,,0,0,0,2,2,2,1,0,x,,,,,,,,,,,,
SDJYTYB,1915-09-11,0,North Carolina State,regular,,Durham,2,,Greensboro,0,,500,1:55,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150909.txt,"Charlotte Daily Observer, September 12, 1915",0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
JJXTLSW,1915-09-11,0,North Carolina State,regular,,Charlotte,3,,Winston-Salem,4,,250,1:35,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150909.txt,"Charlotte Daily Observer, September 12, 1915",0,0,0,1,1,0,0,0,1,,,,,,,,,,,,,0,0,0,4,0,0,0,0,x,,,,,,,,,,,,
NYCNGHL,1915-09-13,0,North Carolina State,regular,,Raleigh,1,,Charlotte,3,,200,1:25,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150909.txt,"Charlotte Daily Observer, September 14, 1915",0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,0,0,1,1,0,1,0,0,x,,,,,,,,,,,,
VNKJRYC,1915-09-13,0,North Carolina State,regular,,Asheville,6,,Durham,7,,500,2:20,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150909.txt,"Charlotte Daily Observer, September 14, 1915",1,0,1,1,1,0,1,1,0,0,0,0,,,,,,,,,,0,0,6,0,0,0,0,0,0,0,0,1,,,,,,,,,
SMBBLMY,1915-09-13,0,North Carolina State,regular,,Winston-Salem,2,,Greensboro,3,,225,1:50,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150909.txt,"Charlotte Daily Observer, September 14, 1915",0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,0,1,1,1,0,0,0,0,x,,,,,,,,,,,,
PRGZDDF,1915-09-14,0,North Carolina State,regular,,Raleigh,5,,Charlotte,6,,200,1:50,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150909.txt,"Charlotte Daily Observer, September 15, 1915",0,0,0,0,0,3,0,2,0,0,0,,,,,,,,,,,0,0,0,3,0,0,2,0,0,0,1,,,,,,,,,,
CMJMXSV,1915-09-14,0,North Carolina State,regular,,Asheville,3,,Durham,7,,500,1:59,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150909.txt,"Charlotte Daily Observer, September 15, 1915",0,0,0,0,0,1,1,0,1,,,,,,,,,,,,,0,1,2,2,0,0,1,1,x,,,,,,,,,,,,
BJDJHDF,1915-09-14,0,North Carolina State,regular,,Winston-Salem,2,,Greensboro,3,,250,1:45,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150909.txt,"Charlotte Daily Observer, September 15, 1915",0,1,0,0,0,1,0,0,0,,,,,,,,,,,,,2,0,0,0,0,0,1,0,x,,,,,,,,,,,,
JPKMLMN,1915-09-15,0,North Carolina State,regular,,Raleigh,6,,Charlotte,8,,200,1:20,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150909.txt,"Charlotte Daily Observer, September 16, 1915",4,0,0,0,0,0,2,0,0,,,,,,,,,,,,,0,1,0,2,0,4,0,1,x,,,,,,,,,,,,
