key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,away.score.18,away.score.19,away.score.20,away.score.21,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17,home.score.18,home.score.19,home.score.20,home.score.21
VGGWBJX,1915-07-26,0,North Carolina State,regular,,Durham,3,,Winston-Salem,8,,500,1:35,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150722.txt,"Charlotte Daily Observer, July 27, 1915",0,0,0,0,0,1,0,2,0,,,,,,,,,,,,,0,0,0,2,2,0,4,0,x,,,,,,,,,,,,
WYKZMHT,1915-07-27,0,North Carolina State,regular,,Charlotte,3,,Asheville,4,,497,1:25,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150722.txt,"Charlotte Daily Observer, July 28, 1915",1,0,0,0,0,2,0,0,0,,,,,,,,,,,,,1,1,1,0,0,1,0,0,x,,,,,,,,,,,,
XGYYKGS,1915-07-27,0,North Carolina State,regular,,Greensboro,1,,Raleigh,6,,600,1:35,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150722.txt,"Charlotte Daily Observer, July 28, 1915",0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,2,0,0,0,0,0,1,3,x,,,,,,,,,,,,
YVKRPKR,1915-07-27,0,North Carolina State,regular,,Durham,5,,Winston-Salem,0,,500,1:33,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150722.txt,"Charlotte Daily Observer, July 28, 1915",0,1,0,1,0,1,0,2,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
WLPYGLM,1915-07-28,0,North Carolina State,regular,,Charlotte,0,,Asheville,7,,490,1:25,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150722.txt,"Charlotte Daily Observer, July 29, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,6,0,0,0,1,x,,,,,,,,,,,,
DXDPMXR,1915-07-28,0,North Carolina State,regular,,Greensboro,2,,Raleigh,3,,750,1:30,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150722.txt,"Charlotte Daily Observer, July 29, 1915",0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,0,0,0,2,0,0,0,1,x,,,,,,,,,,,,
FWTQHBY,1915-07-28,0,North Carolina State,regular,,Durham,6,,Winston-Salem,4,,300,1:40,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150722.txt,"Charlotte Daily Observer, July 29, 1915",0,0,0,0,1,2,0,3,0,,,,,,,,,,,,,0,2,0,1,0,0,0,1,0,,,,,,,,,,,,
HRRDRGT,1915-07-29,0,North Carolina State,regular,,Winston-Salem,2,,Charlotte,3,,600,1:50,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150729.txt,"Charlotte Daily Observer, July 30, 1915",0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,
QMSGCQJ,1915-07-29,0,North Carolina State,regular,,Greensboro,1,,Durham,2,,700,2:25,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150729.txt,"Charlotte Daily Observer, July 30, 1915",0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,,
CZXKBKF,1915-07-29,0,North Carolina State,regular,,Asheville,5,,Raleigh,0,,500,1:55,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150729.txt,"Charlotte Daily Observer, July 30, 1915",0,0,0,0,1,0,1,0,3,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
YLSZPBW,1915-07-30,0,North Carolina State,regular,,Winston-Salem,2,,Charlotte,3,,550,1:50,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150729.txt,"Charlotte Daily Observer, July 31, 1915",0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,
SVSRVKF,1915-07-30,0,North Carolina State,regular,,Greensboro,5,,Durham,7,,300,1:40,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150729.txt,"Charlotte Daily Observer, July 31, 1915",0,0,0,1,1,2,1,0,0,,,,,,,,,,,,,1,3,0,0,3,0,0,0,x,,,,,,,,,,,,
CTHKNTM,1915-07-30,0,North Carolina State,regular,,Asheville,0,,Raleigh,3,,550,1:30,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150729.txt,"Charlotte Daily Observer, July 31, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,3,0,x,,,,,,,,,,,,
WGQYYLQ,1915-07-31,0,North Carolina State,regular,,Winston-Salem,7,,Charlotte,4,,900,2:10,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150729.txt,"Charlotte Daily Observer, August 1, 1915",0,0,3,1,0,0,3,0,0,,,,,,,,,,,,,0,0,3,0,1,0,0,0,0,,,,,,,,,,,,
XJBPPPJ,1915-07-31,0,North Carolina State,regular,,Greensboro,2,,Durham,1,,750,2:25,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150729.txt,"Charlotte Daily Observer, August 1, 1915",0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,
PVQWPDH,1915-07-31,0,North Carolina State,regular,,Asheville,0,,Raleigh,2,,500,1:25,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150729.txt,"Charlotte Daily Observer, August 1, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,2,0,0,0,0,x,,,,,,,,,,,,
SLGGLFN,1915-08-02,0,North Carolina State,regular,,Raleigh,4,,Charlotte,12,,500,1:40,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150729.txt,"Charlotte Daily Observer, August 3, 1915",2,0,0,0,0,0,0,1,1,,,,,,,,,,,,,2,0,5,0,2,0,3,0,x,,,,,,,,,,,,
QWWZYJM,1915-08-02,0,North Carolina State,regular,,Asheville,11,,Durham,2,,600,1:50,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150729.txt,"Charlotte Daily Observer, August 3, 1915",2,4,1,0,0,2,0,2,0,,,,,,,,,,,,,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,
WRVVYDX,1915-08-02,0,North Carolina State,regular,,Winston-Salem,5,,Greensboro,0,,575,1:50,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150729.txt,"Charlotte Daily Observer, August 3, 1915",0,0,0,2,0,2,1,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
GLDKJNF,1915-08-03,0,North Carolina State,regular,,Raleigh,3,,Charlotte,0,,700,1:35,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150729.txt,"Charlotte Daily Observer, August 4, 1915",1,1,0,0,0,0,0,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
QMHHJFN,1915-08-03,0,North Carolina State,regular,,Asheville,,,Durham,,,,,,postponed,rain,,transcript/1915/1915-CDO/boxes/NCSL-19150729.txt,"Charlotte Daily Observer, August 4, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JYPVTDR,1915-08-03,0,North Carolina State,regular,,Winston-Salem,,,Greensboro,,,,,,postponed,rain,,transcript/1915/1915-CDO/boxes/NCSL-19150729.txt,"Charlotte Daily Observer, August 4, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVGTXZZ,1915-08-04,0,North Carolina State,regular,,Raleigh,1,,Charlotte,0,,700,1:40,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150729.txt,"Charlotte Daily Observer, August 5, 1915",0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
WFLDNGH,1915-08-04,1,North Carolina State,regular,,Asheville,6,,Durham,1,,700,1:45,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150729.txt,"Charlotte Daily Observer, August 5, 1915",2,0,0,0,0,0,0,4,0,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,
TZZLRFN,1915-08-04,2,North Carolina State,regular,,Asheville,2,,Durham,3,,800,1:20,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150729.txt,"Charlotte Daily Observer, August 5, 1915",0,0,0,0,0,0,2,,,,,,,,,,,,,,,0,0,0,1,0,0,2,,,,,,,,,,,,,,
