key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14
NWFTQFY,1915-05-06,0,Northern,regular,,Virginia,,,Fargo-Moorhead,,,,,,postponed,rain,,transcript/1915/1915-WT/boxes/WT-19150506.txt,"Winnipeg Tribune, May 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKGHNYJ,1915-05-06,0,Northern,regular,,Fort William-Port Arthur,,,Grand Forks,,,,,,postponed,rain,,transcript/1915/1915-WT/boxes/WT-19150506.txt,"Winnipeg Tribune, May 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
GYWVYMW,1915-05-06,0,Northern,regular,,Superior,,,St. Boniface,,,,,,postponed,rain,,transcript/1915/1915-WT/boxes/WT-19150506.txt,"Winnipeg Tribune, May 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
QLKJKGP,1915-05-06,0,Northern,regular,,Duluth,,,Winnipeg,,,,,,postponed,rain,,transcript/1915/1915-WT/boxes/WT-19150506.txt,"Winnipeg Tribune, May 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJLQSSG,1915-05-07,0,Northern,regular,,Virginia,,,Fargo-Moorhead,,,,,,postponed,rain,,transcript/1915/1915-WT/boxes/WT-19150506.txt,"Winnipeg Tribune, May 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQQSBQP,1915-05-07,0,Northern,regular,,Fort William-Port Arthur,,,Grand Forks,,,,,,postponed,rain,,transcript/1915/1915-WT/boxes/WT-19150506.txt,"Winnipeg Tribune, May 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWLLTHK,1915-05-07,0,Northern,regular,,Superior,,,St. Boniface,,,,,,postponed,rain,,transcript/1915/1915-WT/boxes/WT-19150506.txt,"Winnipeg Tribune, May 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTXWYVT,1915-05-07,0,Northern,regular,,Duluth,,,Winnipeg,,,,,,postponed,rain,,transcript/1915/1915-WT/boxes/WT-19150506.txt,"Winnipeg Tribune, May 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFGDZLG,1915-05-08,0,Northern,regular,,Virginia,,,Fargo-Moorhead,,,,,,,,,transcript/1915/1915-WT/boxes/WT-19150506.txt,"Winnipeg Tribune, May 10, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGMGMKY,1915-05-08,0,Northern,regular,,Fort William-Port Arthur,,,Grand Forks,,,,,,,,,transcript/1915/1915-WT/boxes/WT-19150506.txt,"Winnipeg Tribune, May 10, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGCMXND,1915-05-08,0,Northern,regular,,Superior,3,,St. Boniface,11,,,2:15,,,,,transcript/1915/1915-WT/boxes/WT-19150506.txt,"Winnipeg Tribune, May 10, 1915",0,0,0,0,0,0,0,3,0,,,,,,2,0,0,2,0,3,4,0,x,,,,,
DGLVJKJ,1915-05-08,0,Northern,regular,,Duluth,6,,Winnipeg,7,,,2:20,,,,,transcript/1915/1915-WT/boxes/WT-19150506.txt,"Winnipeg Tribune, May 10, 1915",1,0,0,2,1,0,0,2,0,,,,,,0,0,0,0,0,0,1,6,x,,,,,
