game.key,game.date,game.number,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_LOB,B_ROE,P_IP,P_R,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB
4d37b9fe-fb88-56a7-bcf2-534b6f459315,1915-05-08,0,Ryan,,Superior,p,8,4,0,,1,,,,0,,,,,,,,,6.1,,8,11,1,,,,2,2,1,,,
4d37b9fe-fb88-56a7-bcf2-534b6f459315,1915-05-08,0,Gurke,,Superior,c,9,4,0,,1,,,,1,,,,,,,,,,,,,,,,,5,3,1,,,
4d37b9fe-fb88-56a7-bcf2-534b6f459315,1915-05-08,0,TOTALS,,Superior,,,39,3,,9,,,,2,,,,,,,11,,,,,,,,,,23,9,3,,,
a7cb9b55-3dba-5198-9107-5b1ab0e5655f,1915-05-08,0,TOTALS,,Fargo-Moorhead,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a7cb9b55-3dba-5198-9107-5b1ab0e5655f,1915-05-08,0,TOTALS,,Virginia,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac16ca94-233a-5d14-be11-23ec1c2593f9,1915-05-08,0,TOTALS,,Fort William-Port Arthur,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac16ca94-233a-5d14-be11-23ec1c2593f9,1915-05-08,0,TOTALS,,Grand Forks,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65528789-16c9-59b1-9e96-bd52f3f6b30c,1915-05-09,0,Pfeffer,,St. Boniface,ss,1,2,0,,0,,,,,,,,,,,,,,,,,,,,,1,2,0,,,
65528789-16c9-59b1-9e96-bd52f3f6b30c,1915-05-09,0,Adams,,St. Boniface,1b,2,2,0,,0,,,,,,,,1,,,,,,,,,,,,,14,0,1,,,
65528789-16c9-59b1-9e96-bd52f3f6b30c,1915-05-09,0,Lane,,St. Boniface,lf,3,5,0,,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
65528789-16c9-59b1-9e96-bd52f3f6b30c,1915-05-09,0,Miller,H.,St. Boniface,cf,4,4,0,,1,,,,,,,,,,,,,,,,,,,,,3,3,0,,,
65528789-16c9-59b1-9e96-bd52f3f6b30c,1915-05-09,0,Nagle,,St. Boniface,2b,5,5,0,,0,,,,,,,,,,,,,,,,,,,,,2,1,3,,,
65528789-16c9-59b1-9e96-bd52f3f6b30c,1915-05-09,0,Mueller,,St. Boniface,rf,6,2,0,,1,1,,,,,,,,,1,,,,,,,,,,,0,0,0,,,
65528789-16c9-59b1-9e96-bd52f3f6b30c,1915-05-09,0,Murphy,,St. Boniface,3b,7,3,0,,1,,,,,,,,1,,,,,,,,,,,,,0,1,0,,,
65528789-16c9-59b1-9e96-bd52f3f6b30c,1915-05-09,0,Spellman,,St. Boniface,c,8,3,1,,1,,,,,,,,,,,,,,,,,,,,,6,4,2,,,1
65528789-16c9-59b1-9e96-bd52f3f6b30c,1915-05-09,0,Stevenson,,St. Boniface,p,9,3,1,,0,,,,,,,,,,,,,,,,1,4,,,,1,7,0,,,
65528789-16c9-59b1-9e96-bd52f3f6b30c,1915-05-09,0,TOTALS,,St. Boniface,,,29,2,,4,,,,,,,,,,,13,,,,,,,,,,27,18,6,,,
65528789-16c9-59b1-9e96-bd52f3f6b30c,1915-05-09,0,Burgwald,,Superior,3b,1,4,0,,1,1,,,,,,,,,,,,,,,,,,,,3,3,0,,,
65528789-16c9-59b1-9e96-bd52f3f6b30c,1915-05-09,0,McGee,,Superior,2b,2,4,1,,1,,,,,,,,,,,,,,,,,,,,,2,3,0,,,
65528789-16c9-59b1-9e96-bd52f3f6b30c,1915-05-09,0,Curtis,,Superior,1b,3,4,1,,2,,,,,,,,,,,,,,,,,,,,,14,2,0,1,,
65528789-16c9-59b1-9e96-bd52f3f6b30c,1915-05-09,0,Swalm,,Superior,lf,4,4,0,,2,,,,,,,,,,,,,,,,,,,,,2,0,0,,,
65528789-16c9-59b1-9e96-bd52f3f6b30c,1915-05-09,0,Glass,,Superior,rf,5,4,1,,2,1,,,,,,,,,,,,,,,,,,,,1,0,0,,,
65528789-16c9-59b1-9e96-bd52f3f6b30c,1915-05-09,0,Bassey,,Superior,cf,6,4,0,,0,,,,,,,,,,,,,,,,,,,,,1,0,0,,,
65528789-16c9-59b1-9e96-bd52f3f6b30c,1915-05-09,0,Girth,,Superior,ss,7,4,0,,0,,,,,,,,,,1,,,,,,,,,,,1,1,1,,,
65528789-16c9-59b1-9e96-bd52f3f6b30c,1915-05-09,0,Kurke,,Superior,c,8,3,0,,0,,,,,,,,,,,,,,,,,,,,,2,3,0,,,
65528789-16c9-59b1-9e96-bd52f3f6b30c,1915-05-09,0,Williams,,Superior,p,9,4,0,,0,,,,,,,,,,,,,,,,10,1,,,1,1,4,0,1,,
65528789-16c9-59b1-9e96-bd52f3f6b30c,1915-05-09,0,TOTALS,,Superior,,,35,3,,8,,,,,,,,,,,5,,,,,,,,,,27,16,1,,,
75d11c4d-8735-58a1-b25b-bc61644013fa,1915-05-09,0,TOTALS,,Fort William-Port Arthur,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75d11c4d-8735-58a1-b25b-bc61644013fa,1915-05-09,0,TOTALS,,Grand Forks,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6127c0f-90b5-5775-a421-b20b33d72949,1915-05-09,0,TOTALS,,Fargo-Moorhead,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6127c0f-90b5-5775-a421-b20b33d72949,1915-05-09,0,TOTALS,,Virginia,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2f630141-c41a-5195-b382-9bf29f8d07ee,1915-05-10,0,TOTALS,,Grand Forks,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2f630141-c41a-5195-b382-9bf29f8d07ee,1915-05-10,0,TOTALS,,Virginia,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37f30424-fe76-5fd2-9365-f736cdf221c2,1915-05-10,0,TOTALS,,Fargo-Moorhead,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
