game.key,league.year,league.name,game.date,game.number,game.phase,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_XO,B_LOB,B_ROE,P_IP,P_TBF,P_R,P_ER,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB
FLLWVGS,1915,Buckeye League,1915-05-19,0,regular,Hall,,Findlay,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLLWVGS,1915,Buckeye League,1915-05-19,0,regular,Donaldson,,Findlay,p,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLLWVGS,1915,Buckeye League,1915-05-19,0,regular,Yockey,,Findlay,p,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLLWVGS,1915,Buckeye League,1915-05-19,0,regular,McGovern,,Findlay,c,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLLWVGS,1915,Buckeye League,1915-05-19,0,regular,TOTALS,,Findlay,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
FLLWVGS,1915,Buckeye League,1915-05-19,0,regular,Reynolds,,Lima,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLLWVGS,1915,Buckeye League,1915-05-19,0,regular,Walker,,Lima,p,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLLWVGS,1915,Buckeye League,1915-05-19,0,regular,Maroney,,Lima,c,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLLWVGS,1915,Buckeye League,1915-05-19,0,regular,TOTALS,,Lima,,,,19,,19,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
KKDSQSG,1915,Buckeye League,1915-05-19,0,regular,McGonagle,,Marion,2b,1,3,1,,0,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,,,,
KKDSQSG,1915,Buckeye League,1915-05-19,0,regular,Wetzel,,Marion,3b,2,3,0,,0,,,,,,,,1,1,,,,,,,,,,,,,,,2,0,0,,,,
KKDSQSG,1915,Buckeye League,1915-05-19,0,regular,Thoma,,Marion,cf,3,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,
KKDSQSG,1915,Buckeye League,1915-05-19,0,regular,Bonnin,,Marion,lf,4,4,1,,2,,,,,,,,,,1,,,,,,,,,,,,,,2,0,1,,,,
KKDSQSG,1915,Buckeye League,1915-05-19,0,regular,Near,,Marion,1b,5,2,0,,1,,,,,,,,1,,,,,,,,,,,,,,,,6,1,0,,,,
KKDSQSG,1915,Buckeye League,1915-05-19,0,regular,Price,,Marion,rf,6,3,0,,1,,,,,,,1,,,,,,,,,,,,,,,,,3,0,1,,,,
KKDSQSG,1915,Buckeye League,1915-05-19,0,regular,Judge,,Marion,ss,7,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,
KKDSQSG,1915,Buckeye League,1915-05-19,0,regular,Breymeier,,Marion,c,8,2,0,,0,,,,,,,,1,,,,,,,,,,,,,,,,7,1,0,,,,
KKDSQSG,1915,Buckeye League,1915-05-19,0,regular,Hart,,Marion,p,9,1,1,,0,,,,,,,1,1,,,,,,,,,,,,6,,,,1,3,0,,,,
KKDSQSG,1915,Buckeye League,1915-05-19,0,regular,TOTALS,,Marion,,,24,3,,5,,,,,,,,,,,,,,,,,,,,,,,,27,8,3,,,,
KKDSQSG,1915,Buckeye League,1915-05-19,0,regular,Long,,Newark,lf,1,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,,,,
KKDSQSG,1915,Buckeye League,1915-05-19,0,regular,Dougherty,,Newark,p,10,0,0,,0,,,,,,,,,,,,,,0.2,,,,,,1,,,,0,0,0,,,,
KKDSQSG,1915,Buckeye League,1915-05-19,0,regular,Wratten,,Newark,3b,2,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
KKDSQSG,1915,Buckeye League,1915-05-19,0,regular,Humphreys,,Newark,2b,3,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,,,,
KKDSQSG,1915,Buckeye League,1915-05-19,0,regular,Booie,,Newark,1b,4,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,,,,
KKDSQSG,1915,Buckeye League,1915-05-19,0,regular,Hunt,,Newark,cf,5,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
KKDSQSG,1915,Buckeye League,1915-05-19,0,regular,McCullough,,Newark,rf,6,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
KKDSQSG,1915,Buckeye League,1915-05-19,0,regular,Strawn,,Newark,c,8,3,0,,1,,,,,,,,,,,,,,,,,,,,,,,,7,1,0,,,,
KKDSQSG,1915,Buckeye League,1915-05-19,0,regular,Dillon,,Newark,p,9,3,1,,0,,,,,,,,,,,,,,8.1,,,,5,6,3,1,1,,0,5,0,,,,
KKDSQSG,1915,Buckeye League,1915-05-19,0,regular,TOTALS,,Newark,,,33,1,,6,,,,,,,,,,,,,,,,,,,,,,,,27,12,0,,,,
RSMRQBG,1915,Buckeye League,1915-05-19,0,regular,Hook,,Akron,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSMRQBG,1915,Buckeye League,1915-05-19,0,regular,Talbot,,Akron,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSMRQBG,1915,Buckeye League,1915-05-19,0,regular,TOTALS,,Akron,,,,3,,7,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
RSMRQBG,1915,Buckeye League,1915-05-19,0,regular,Barnhart,,Canton,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSMRQBG,1915,Buckeye League,1915-05-19,0,regular,McLaughlin,,Canton,p,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSMRQBG,1915,Buckeye League,1915-05-19,0,regular,Kirby,,Canton,c,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSMRQBG,1915,Buckeye League,1915-05-19,0,regular,TOTALS,,Canton,,,,4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
JMHHLRN,1915,Buckeye League,1915-05-21,0,regular,French,,Findlay,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMHHLRN,1915,Buckeye League,1915-05-21,0,regular,Shultz,,Findlay,p,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMHHLRN,1915,Buckeye League,1915-05-21,0,regular,McGivern,,Findlay,c,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMHHLRN,1915,Buckeye League,1915-05-21,0,regular,TOTALS,,Findlay,,,,9,,13,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
JMHHLRN,1915,Buckeye League,1915-05-21,0,regular,Clark,,Lima,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMHHLRN,1915,Buckeye League,1915-05-21,0,regular,Walker,,Lima,p,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMHHLRN,1915,Buckeye League,1915-05-21,0,regular,Maroney,,Lima,c,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMHHLRN,1915,Buckeye League,1915-05-21,0,regular,TOTALS,,Lima,,,,12,,12,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
KLCJNVQ,1915,Buckeye League,1915-05-21,0,regular,Linne,,Akron,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLCJNVQ,1915,Buckeye League,1915-05-21,0,regular,Talbott,,Akron,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLCJNVQ,1915,Buckeye League,1915-05-21,0,regular,TOTALS,,Akron,,,,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
KLCJNVQ,1915,Buckeye League,1915-05-21,0,regular,McLaughlin,,Canton,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLCJNVQ,1915,Buckeye League,1915-05-21,0,regular,Wilhelm,,Canton,p,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLCJNVQ,1915,Buckeye League,1915-05-21,0,regular,Kirby,,Canton,c,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLCJNVQ,1915,Buckeye League,1915-05-21,0,regular,TOTALS,,Canton,,,,4,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
QRWWLMD,1915,Buckeye League,1915-05-21,0,regular,McGonigle,,Marion,2b,1,4,1,,3,,1,,,,,,,,1,,,,,,,,,,,,,,4,3,0,,,,
QRWWLMD,1915,Buckeye League,1915-05-21,0,regular,Wetzel,,Marion,3b,2,1,0,,0,,,,,,,,2,1,,,,,,,,,,,,,,,0,2,0,,,,
QRWWLMD,1915,Buckeye League,1915-05-21,0,regular,Thoma,,Marion,cf,3,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,
QRWWLMD,1915,Buckeye League,1915-05-21,0,regular,Bonin,,Marion,rf,4,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,
QRWWLMD,1915,Buckeye League,1915-05-21,0,regular,Near,,Marion,1b,5,4,1,,2,1,,,,,,,,,1,,,,,,,,,,,,,,12,2,0,,,,
QRWWLMD,1915,Buckeye League,1915-05-21,0,regular,Price,G.,Marion,lf,6,3,0,,1,,,,,,,,,,2,,,,,,,,,,,,,,2,0,0,,,,
QRWWLMD,1915,Buckeye League,1915-05-21,0,regular,Judge,,Marion,ss,7,4,0,,1,,,,,,,,,,1,,,,,,,,,,,,,,0,3,0,,,,
QRWWLMD,1915,Buckeye League,1915-05-21,0,regular,Breymaier,,Marion,c,8,2,1,,0,,,,,,,,,,,,,,,,,,,,,,,,4,2,0,,,,
QRWWLMD,1915,Buckeye League,1915-05-21,0,regular,Orndolf,,Marion,p,9,4,1,,1,,,,,,,,,,1,,,,,,,,,,4,,,,1,4,1,,,,
QRWWLMD,1915,Buckeye League,1915-05-21,0,regular,TOTALS,,Marion,,,30,4,,9,,,,,,,,,,,,11,,,,,,,,,,,,27,16,1,,,,
QRWWLMD,1915,Buckeye League,1915-05-21,0,regular,Long,,Newark,lf,1,5,2,,3,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,
QRWWLMD,1915,Buckeye League,1915-05-21,0,regular,Wratten,,Newark,3b,2,2,0,,1,,,,,,,,2,,,,,,,,,,,,,,,,0,1,0,,,,
QRWWLMD,1915,Buckeye League,1915-05-21,0,regular,Humphreys,,Newark,2b,3,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,,,,
QRWWLMD,1915,Buckeye League,1915-05-21,0,regular,Bowie,,Newark,1b,4,4,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,11,0,0,,,,
QRWWLMD,1915,Buckeye League,1915-05-21,0,regular,Hunt,,Newark,cf,5,4,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,
QRWWLMD,1915,Buckeye League,1915-05-21,0,regular,McCullough,,Newark,rf,6,4,0,,2,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
QRWWLMD,1915,Buckeye League,1915-05-21,0,regular,Price,,Newark,ss,7,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,,,,
QRWWLMD,1915,Buckeye League,1915-05-21,0,regular,Strawn,,Newark,c,8,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,,,,
QRWWLMD,1915,Buckeye League,1915-05-21,0,regular,Dougherty,,Newark,p,9,4,0,,0,,,,,,,,,,,,,,,,,,,6,3,,,,0,6,0,,,,
QRWWLMD,1915,Buckeye League,1915-05-21,0,regular,TOTALS,,Newark,,,35,3,,10,,,,,,,,,,,,7,,,,,,,,,,,,24,13,1,,,,
SNYDCFK,1915,Buckeye League,1915-05-22,0,regular,McGonigle,,Marion,2b,1,5,1,,2,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,,,,
SNYDCFK,1915,Buckeye League,1915-05-22,0,regular,Wetzel,,Marion,3b,2,4,0,,0,,,,,,,,1,,,,,,,,,,,,,,,,1,0,0,,,,
SNYDCFK,1915,Buckeye League,1915-05-22,0,regular,Thoma,,Marion,cf,3,4,2,,3,1,,,,,,,,,,,,,,,,,,,,,,,7,0,0,,,,
SNYDCFK,1915,Buckeye League,1915-05-22,0,regular,Bonin,,Marion,rf,4,4,2,,1,,,1,,,,,,,1,,,,,,,,,,,,,,1,0,0,,,,
SNYDCFK,1915,Buckeye League,1915-05-22,0,regular,Near,,Marion,1b,5,4,0,,1,,1,,,,,,,,,,,,,,,,,,,,,,10,0,0,,,,
SNYDCFK,1915,Buckeye League,1915-05-22,0,regular,Leake,,Marion,lf,6,3,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,4,0,0,,,,
SNYDCFK,1915,Buckeye League,1915-05-22,0,regular,Judge,,Marion,ss,7,4,0,,1,,,,,,,,,,1,,,,,,,,,,,,,,0,0,1,,,,
SNYDCFK,1915,Buckeye League,1915-05-22,0,regular,Breymaier,,Marion,c,8,2,0,,1,,,,,,,1,,,1,,,,,,,,,,,,,,1,0,0,,,,
SNYDCFK,1915,Buckeye League,1915-05-22,0,regular,Hoffman,,Marion,p,9,4,0,,0,,,,,,,,,,,,,,,,,,,6,1,,,,0,2,0,,,,
SNYDCFK,1915,Buckeye League,1915-05-22,0,regular,TOTALS,,Marion,,,34,6,,10,,,,,,,,,,,,8,,,,,,,,,,,,27,10,1,,,,
SNYDCFK,1915,Buckeye League,1915-05-22,0,regular,Long,,Newark,lf,1,4,0,,0,,,,,,,,1,,,,,,,,,,,,,,,,3,1,0,,,,
SNYDCFK,1915,Buckeye League,1915-05-22,0,regular,Trimmer,,Newark,p,10,2,0,,0,,,,,,,,,,,,,,5,,,,6,1,2,1,,,0,1,0,,,,
SNYDCFK,1915,Buckeye League,1915-05-22,0,regular,Wratten,,Newark,3b,2,2,0,,0,,,,,,,,,1,,,,,,,,,,,,,,,1,4,0,,,,
SNYDCFK,1915,Buckeye League,1915-05-22,0,regular,Humphreys,,Newark,2b,3,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,,,
SNYDCFK,1915,Buckeye League,1915-05-22,0,regular,Booie,,Newark,1b,4,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,8,1,1,,,,
SNYDCFK,1915,Buckeye League,1915-05-22,0,regular,Hunt,,Newark,cf,5,4,0,,2,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,
SNYDCFK,1915,Buckeye League,1915-05-22,0,regular,McCullough,,Newark,rf,6,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
SNYDCFK,1915,Buckeye League,1915-05-22,0,regular,Price,,Newark,ss,7,4,0,,1,,,,,,,,,,1,,,,,,,,,,,,,,3,3,1,,,,
SNYDCFK,1915,Buckeye League,1915-05-22,0,regular,Strawn,,Newark,c,8,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,5,0,1,,,,
SNYDCFK,1915,Buckeye League,1915-05-22,0,regular,Riley,,Newark,p,9,0,0,,0,,,,,,,,,,,,,,3,,,,4,1,1,,,,1,2,0,,,,
SNYDCFK,1915,Buckeye League,1915-05-22,0,regular,TOTALS,,Newark,,,31,1,,5,,,,,,,,,,,,11,,,,,,,,,,,,24,15,5,,,,
JKLZSJT,1915,Buckeye League,1915-05-23,0,regular,Barnhart,,Canton,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JKLZSJT,1915,Buckeye League,1915-05-23,0,regular,McLaughlin,,Canton,p,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JKLZSJT,1915,Buckeye League,1915-05-23,0,regular,Kirby,,Canton,c,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JKLZSJT,1915,Buckeye League,1915-05-23,0,regular,TOTALS,,Canton,,,,7,,10,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
JKLZSJT,1915,Buckeye League,1915-05-23,0,regular,Leake,,Marion,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
