league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST,U_G
1914,International League,regular,P8784010,Carpenter,,1914-04-21,1914-04-27,6
1914,International League,regular,P2304663,Finneran,,1914-04-21,1914-04-27,4
1914,International League,regular,P2432326,Halligan,,1914-04-21,1914-04-27,5
1914,International League,regular,P6165100,Harrison,,1914-04-21,1914-04-27,4
1914,International League,regular,P7818549,Hart,,1914-04-21,1914-04-25,5
1914,International League,regular,P7337852,Mueller,,1914-04-24,1914-04-24,1
1914,International League,regular,P0458067,Mullen,,1914-04-22,1914-04-22,1
1914,International League,regular,P8065879,Mullin,,1914-04-21,1914-04-27,3
1914,International League,regular,P9262560,Nallen,,1914-04-27,1914-04-27,2
1914,International League,regular,P6870372,Nallin,,1914-04-21,1914-04-24,4
1914,International League,regular,P6247654,Rorty,,1914-04-21,1914-04-25,5
