league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1914,International League,regular,P2599409,Bader,,Buffalo,1914-04-25,1914-05-04,2,2,0,0,0,0,0,0,0,0,0,2
1914,International League,regular,P4933785,Bailey,,Providence,1914-04-21,1914-04-28,3,3,0,0,0,0,0,0,0,0,0,3
1914,International League,regular,P7246318,Ball,,Baltimore,1914-04-21,1914-05-04,13,0,0,12,1,0,0,0,0,0,0,0
1914,International League,regular,P3802608,Barrow,,Rochester,1914-04-27,1914-04-27,1,0,0,0,0,0,1,0,1,0,0,0
1914,International League,regular,P7646115,Barrows,,Rochester,1914-04-21,1914-05-04,9,0,0,0,0,0,9,0,9,0,0,0
1914,International League,regular,P7280191,Barry,,Jersey City,1914-04-21,1914-05-03,10,0,9,0,0,0,0,0,0,0,0,0
1914,International League,regular,P5228375,Bauman,,Providence,1914-04-28,1914-05-04,5,0,0,0,0,0,4,0,4,0,0,0
1914,International League,regular,P0966181,Baxter,,Jersey City,1914-04-21,1914-04-23,3,0,0,0,0,3,0,0,0,0,0,0
1914,International League,regular,P5247334,Beebe,,Buffalo,1914-04-23,1914-04-23,1,1,0,0,0,0,0,0,0,0,0,1
1914,International League,regular,P5628103,Beebe,Fred,Buffalo,1914-05-03,1914-05-03,1,1,0,0,0,0,0,0,0,0,0,1
1914,International League,regular,P5632955,Bell,,Newark,1914-05-02,1914-05-02,1,1,0,0,0,0,0,0,0,0,0,1
1914,International League,regular,P9087638,Bentley,,Providence,1914-04-22,1914-05-01,2,2,0,0,0,0,0,0,0,0,0,2
1914,International League,regular,P7712247,Brandon,,Buffalo,1914-04-24,1914-05-04,2,2,0,0,0,0,0,0,0,0,0,2
1914,International League,regular,P1040847,Breen,,Rochester,1914-04-21,1914-05-01,6,0,0,5,0,0,0,0,0,0,0,0
1914,International League,regular,P2870590,Britton,,Newark,1914-04-28,1914-05-04,2,2,0,0,0,0,0,0,0,0,0,2
1914,International League,regular,P5400022,Bruck,,Jersey City,1914-04-22,1914-04-22,1,1,0,0,0,0,0,0,0,0,0,1
1914,International League,regular,P6645080,Bruek,,Jersey City,1914-05-01,1914-05-01,1,1,0,0,0,0,0,0,0,0,0,1
1914,International League,regular,P8651950,Bues,,Jersey City,1914-04-21,1914-05-04,11,0,0,0,11,0,0,0,0,0,0,0
