game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first
NMBSFXZ,1914,International League,1914-04-21,0,regular,P8784010,Carpenter,
NMBSFXZ,1914,International League,1914-04-21,0,regular,P6870372,Nallin,
TTTTFWV,1914,International League,1914-04-21,0,regular,P2304663,Finneran,
TTTTFWV,1914,International League,1914-04-21,0,regular,P6165100,Harrison,
DZYWYTX,1914,International League,1914-04-21,0,regular,P8065879,Mullin,
DZYWYTX,1914,International League,1914-04-21,0,regular,P2432326,Halligan,
VLLFJPY,1914,International League,1914-04-21,0,regular,P7818549,Hart,
VLLFJPY,1914,International League,1914-04-21,0,regular,P6247654,Rorty,
JDNPKLG,1914,International League,1914-04-22,0,regular,P6247654,Rorty,
JDNPKLG,1914,International League,1914-04-22,0,regular,P7818549,Hart,
YSYPDZF,1914,International League,1914-04-22,0,regular,P6870372,Nallin,
YSYPDZF,1914,International League,1914-04-22,0,regular,P8784010,Carpenter,
YZTHRGB,1914,International League,1914-04-22,0,regular,P2432326,Halligan,
YZTHRGB,1914,International League,1914-04-22,0,regular,P0458067,Mullen,
XBWYXVC,1914,International League,1914-04-23,0,regular,P7818549,Hart,
XBWYXVC,1914,International League,1914-04-23,0,regular,P6247654,Rorty,
XYCQPBH,1914,International League,1914-04-23,0,regular,P8784010,Carpenter,
XYCQPBH,1914,International League,1914-04-23,0,regular,P6870372,Nallin,
RMJXWSM,1914,International League,1914-04-23,0,regular,P6165100,Harrison,
RMJXWSM,1914,International League,1914-04-23,0,regular,P2304663,Finneran,
VXWSBXJ,1914,International League,1914-04-23,0,regular,P8065879,Mullin,
VXWSBXJ,1914,International League,1914-04-23,0,regular,P2432326,Halligan,
VGKSJLV,1914,International League,1914-04-24,0,regular,P2432326,Halligan,
VGKSJLV,1914,International League,1914-04-24,0,regular,P7337852,Mueller,
CWXCZHM,1914,International League,1914-04-24,0,regular,P2304663,Finneran,
CWXCZHM,1914,International League,1914-04-24,0,regular,P6165100,Harrison,
CPNVGDF,1914,International League,1914-04-24,0,regular,P6247654,Rorty,
CPNVGDF,1914,International League,1914-04-24,0,regular,P7818549,Hart,
WYJJKRG,1914,International League,1914-04-24,0,regular,P6870372,Nallin,
WYJJKRG,1914,International League,1914-04-24,0,regular,P8784010,Carpenter,
BCRTLHL,1914,International League,1914-04-25,0,regular,P7818549,Hart,
BCRTLHL,1914,International League,1914-04-25,0,regular,P6247654,Rorty,
NFQTSLV,1914,International League,1914-04-27,1,regular,P8784010,Carpenter,
NFQTSLV,1914,International League,1914-04-27,1,regular,P9262560,Nallen,
KCWDMVP,1914,International League,1914-04-27,2,regular,P9262560,Nallen,
KCWDMVP,1914,International League,1914-04-27,2,regular,P8784010,Carpenter,
KNJGRHZ,1914,International League,1914-04-27,0,regular,P6165100,Harrison,
KNJGRHZ,1914,International League,1914-04-27,0,regular,P2304663,Finneran,
VSYHYLP,1914,International League,1914-04-27,0,regular,P8065879,Mullin,
VSYHYLP,1914,International League,1914-04-27,0,regular,P2432326,Halligan,
